	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3
ALDH4A1	561	528	768
MIR4695	0	0	0
IFFO2	852	737	1160
UBR4	3451	3070	5064
EMC1	1101	955	1601
MRTO4	678	456	845
AKR7L	2	0	7
AKR7A3	5	2	2
LOC100506730	63	48	62
AKR7A2	425	397	583
PQLC2	125	131	187
CAPZB	3202	2750	4056
MINOS1	268	274	439
NBL1	0	3	0
HTR6	0	0	0
TMCO4	128	117	173
RNF186	0	0	0
OTUD3	107	120	234
PLA2G2E	0	0	0
PLA2G2A	0	0	0
PLA2G5	0	0	0
PLA2G2D	0	0	0
PLA2G2F	0	0	0
PLA2G2C	0	0	0
UBXN10	8	3	5
VWA5B1	0	0	0
CAMK2N1	1973	1866	2589
MUL1	688	566	887
FAM43B	0	0	0
CDA	671	668	905
PINK1	1390	1342	2026
DDOST	3758	3581	4969
KIF17	14	3	3
SH2D5	138	128	281
HP1BP3	2149	1882	2787
EIF4G3	2835	2424	4001
ECE1	2628	2387	3387
LOC100506801	1	0	2
NBPF3	172	134	228
ALPL	0	3	6
RAP1GAP	35	41	43
USP48	1337	1288	2272
LDLRAD2	15	50	13
HSPG2	3842	4335	5655
CELA3B	0	0	2
CELA3A	0	0	0
LINC00339	20	25	45
CDC42	4261	4097	7429
WNT4	70	94	100
ZBTB40	645	624	954
EPHA8	0	5	0
C1QA	0	0	0
C1QC	0	0	0
C1QB	0	0	0
EPHB2	1331	1266	1692
MIR4684	0	1	0
MIR4253	4	1	0
KDM1A	1302	1122	2066
MIR3115	0	0	0
LUZP1	2922	2449	4295
HTR1D	1	4	0
HNRNPR	4167	4042	7375
ZNF436	590	515	892
TCEA3	43	41	31
ASAP3	110	137	188
E2F2	7	4	9
ID3	683	735	1228
MDS2	0	0	0
RPL11	20603	16960	28510
PITHD1	369	277	501
LYPLA2	963	972	1463
GALE	478	497	670
HMGCL	608	450	649
FUCA1	431	396	557
CNR2	0	0	0
MIR378F	0	0	0
PNRC2	168	117	166
SRSF10	759	649	1220
MYOM3	27	22	38
IL22RA1	38	49	79
IFNLR1	198	152	211
LOC284632	0	0	0
GRHL3	788	863	1076
STPG1	316	352	499
NIPAL3	1878	1645	2783
RCAN3AS	1	1	2
RCAN3	228	174	336
NCMAP	1	6	7
SRRM1	2470	2157	3393
CLIC4	1154	1101	2554
RUNX3	40	33	34
SYF2	1330	1209	2008
RHD	2	1	0
TMEM50A	1098	1695	1911
RHCE	1	3	0
LDLRAP1	646	569	881
MAN1C1	24	24	31
MTFR1L	390	402	566
LOC646471	3	10	0
AUNIP	89	53	64
PAQR7	2205	2284	3071
STMN1	825	665	1159
MIR3917	0	0	0
PAFAH2	655	573	929
EXTL1	0	2	1
SLC30A2	1	3	3
TRIM63	0	0	0
PDIK1L	24	19	57
FAM110D	0	0	0
ZNF593	94	92	147
CNKSR1	334	360	495
CATSPER4	1	3	0
CEP85	246	222	318
SH3BGRL3	10137	9136	13589
UBXN11	44	50	53
CD52	0	1	0
ZNF683	0	0	0
LIN28A	0	0	0
DHDDS	576	568	900
HMGN2	334	244	448
RPS6KA1	1100	894	1374
MIR1976	0	0	0
ARID1A	2240	2015	3142
PIGV	130	128	173
ZDHHC18	275	288	351
SFN	12382	12281	17852
GPN2	168	157	243
GPATCH3	160	151	253
NR0B2	0	0	0
NUDC	1633	1368	2238
TRNP1	810	739	1280
SLC9A1	1220	1161	1660
WDTC1	693	675	1036
TMEM222	204	236	307
SYTL1	247	390	443
MAP3K6	396	367	483
FCN3	0	1	0
CD164L2	31	42	30
GPR3	7	5	18
WASF2	4492	4137	6121
AHDC1	606	663	945
FGR	4	1	1
IFI6	49	91	37
FAM76A	134	117	227
STX12	438	382	758
PPP1R8	514	423	790
SCARNA1	0	0	0
THEMIS2	92	92	141
RPA2	401	374	757
SMPDL3B	29	36	53
XKR8	95	87	132
EYA3	524	429	784
PTAFR	1436	1220	1920
DNAJC8	2017	1552	2846
SESN2	368	324	502
MED18	543	556	684
PHACTR4	1119	957	1642
SNHG3	275	288	484
RCC1	951	802	1337
TRNAU1AP	202	179	292
SNHG12	221	185	235
SNORD99	16	13	21
SNORA61	43	49	103
SNORA44	9	17	42
SNORA16A	5	6	12
RAB42	0	1	4
TAF12	606	468	840
RNU11	1	0	0
GMEB1	173	202	337
YTHDF2	1097	936	1467
OPRD1	0	0	0
EPB41	904	800	1502
TMEM200B	8	16	14
SRSF4	2068	1857	2961
MECR	201	183	213
PTPRU	901	977	1193
MATN1	0	0	1
MATN1-AS1	11	9	5
LAPTM5	10	6	8
MIR4420	0	0	0
SDC3	1068	920	1260
PUM1	1855	1683	2946
SNORD103B	0	0	0
SNORD103A	0	0	0
NKAIN1	4	4	2
SNRNP40	318	269	408
ZCCHC17	1204	927	1492
FABP3	2	1	3
SERINC2	4751	5278	6741
TINAGL1	8245	9228	12151
HCRTR1	0	0	0
PEF1	663	569	976
COL16A1	1252	1447	1942
MIR4254	0	0	0
SPOCD1	52	68	65
PTP4A2	1405	1251	2381
KHDRBS1	1938	1754	2911
TMEM39B	76	77	92
KPNA6	1868	1697	2962
TXLNA	1125	1109	1503
CCDC28B	23	29	30
IQCC	44	31	50
DCDC2B	0	1	1
TMEM234	84	79	131
EIF3I	2979	2362	3986
MTMR9LP	3	8	3
FAM167B	4	9	4
LCK	4	3	4
HDAC1	2041	1805	2958
MARCKSL1	949	850	1282
FAM229A	0	2	0
TSSK3	0	0	0
BSDC1	1395	1198	1874
ZBTB8B	0	0	0
ZBTB8A	62	91	106
ZBTB8OS	571	405	742
RBBP4	933	845	1614
SYNC	367	293	585
KIAA1522	3930	3730	5621
YARS	2112	1673	2593
S100PBP	288	247	425
FNDC5	0	0	1
HPCA	1	6	0
TMEM54	415	470	643
RNF19B	406	296	579
AK2	2918	2175	3270
TRIM62	115	133	184
ZNF362	145	146	198
PHC2	769	701	1054
MIR3605	0	0	1
ZSCAN20	111	116	208
CSMD2	0	0	0
HMGB4	0	0	0
C1orf94	0	0	0
GJB5	691	668	997
GJB4	251	221	361
GJB3	1078	964	1560
GJA4	0	0	0
SMIM12	609	520	903
DLGAP3	0	0	1
LOC653160	20	28	32
ZMYM6	455	504	873
ZMYM1	96	97	219
SFPQ	4192	3502	5775
ZMYM4	1201	1076	1854
KIAA0319L	888	797	1170
NCDN	329	339	510
TFAP2E	1	2	9
PSMB2	2672	2149	3154
C1orf216	127	131	191
CLSPN	207	176	292
AGO4	401	325	570
AGO1	338	323	490
AGO3	138	143	250
TEKT2	0	4	2
ADPRHL2	641	615	762
COL8A2	9	11	15
TRAPPC3	898	855	1325
MAP7D1	1951	1979	3033
THRAP3	4587	3771	6348
SH3D21	313	373	505
EVA1B	8	12	8
STK40	178	199	278
LSM10	168	183	221
OSCP1	67	74	104
MRPS15	1432	1208	2029
CSF3R	0	0	0
GRIK3	0	0	0
MIR4255	0	0	0
ZC3H12A	337	371	482
MEAF6	416	439	715
MIR5581	4	0	4
SNIP1	331	304	509
DNALI1	46	40	55
GNL2	1256	968	1482
RSPO1	0	0	0
C1orf109	246	205	338
CDCA8	138	156	215
EPHA10	0	0	1
MANEAL	12	14	23
YRDC	191	110	230
C1orf122	199	173	228
MTF1	581	516	896
INPP5B	99	80	133
SF3A3	1321	1020	1719
FHL3	149	126	227
POU3F1	6	5	9
MIR3659	0	0	0
RRAGC	438	519	955
GJA9-MYCBP	0	1	0
MYCBP	0	0	1
GJA9	0	0	0
RHBDL2	430	466	815
AKIRIN1	1122	1065	1865
NDUFS5	3102	2272	3483
MACF1	6821	5681	9199
KIAA0754	142	126	182
BMP8A	3	0	4
PPIEL	9	6	19
PABPC4	3347	2879	4759
SNORA55	3	1	6
HEYL	0	0	0
NT5C1A	0	0	0
HPCAL4	5	2	6
PPIE	371	364	517
BMP8B	3	3	2
OXCT2	0	5	15
TRIT1	335	330	462
MFSD2A	322	342	516
CAP1	14755	12205	20107
PPT1	897	775	1294
RLF	356	496	881
TMCO2	0	0	0
ZMPSTE24	628	565	1365
COL9A2	10	18	18
SMAP2	384	333	495
ZFP69B	27	39	73
ZFP69	96	61	103
EXO5	54	45	64
ZNF684	25	28	42
RIMS3	43	34	63
NFYC	321	250	345
MIR30E	0	1	0
MIR30C1	0	3	0
KCNQ4	6	1	4
CITED4	344	308	524
CTPS1	1000	832	1493
SLFNL1-AS1	7	10	19
SLFNL1	3	0	0
SCMH1	372	293	474
EDN2	2	2	1
HIVEP3	36	50	49
GUCA2B	0	0	0
GUCA2A	0	0	0
FOXJ3	1294	1226	1883
RIMKLA	1	0	0
ZMYND12	1	1	2
PPCS	295	426	854
CCDC30	6	4	13
PPIH	777	601	951
YBX1	20257	16743	25594
CLDN19	1	1	2
C1orf50	82	60	109
ERMAP	186	175	213
ZNF691	97	77	154
SLC2A1	7681	7767	11053
SLC2A1-AS1	20	28	29
FAM183A	6	8	9
EBNA1BP2	1267	1039	1637
TMEM125	76	74	70
C1orf210	86	78	150
TIE1	0	0	0
MPL	1	6	0
CDC20	280	198	380
ELOVL1	1364	1132	1780
MED8	330	211	368
SZT2	561	551	780
HYI	279	228	385
PTPRF	6736	6712	9712
KDM4A	1251	1099	1480
KDM4A-AS1	20	26	7
ST3GAL3	60	68	109
ARTN	206	214	235
IPO13	717	756	991
DPH2	262	198	327
ATP6V0B	456	482	667
B4GALT2	694	617	1010
CCDC24	117	122	185
SLC6A9	89	116	156
KLF17	0	0	0
DMAP1	212	187	310
ERI3	288	236	424
RNF220	543	444	744
MIR5584	0	0	0
TMEM53	86	78	79
KIF2C	118	108	198
RPS8	8124	6631	11516
SNORD55	0	0	0
SNORD46	0	2	1
SNORD38A	4	0	0
SNORD38B	1	3	4
BEST4	0	0	7
PLK3	323	312	408
TCTEX1D4	0	3	0
BTBD19	34	37	38
PTCH2	7	7	0
EIF2B3	201	140	306
HECTD3	880	801	1235
UROD	895	716	1179
ZSWIM5	6	2	2
HPDL	11	4	7
MUTYH	74	76	83
TOE1	93	70	122
TESK2	63	49	64
MMACHC	134	86	149
PRDX1	5809	4864	8378
AKR1A1	420	398	646
NASP	945	757	1318
CCDC17	8	7	16
GPBP1L1	965	812	1324
RPS15AP10	4	5	6
TMEM69	432	442	714
IPP	169	159	316
MAST2	467	489	743
PIK3R3	502	457	909
TSPAN1	5312	4454	6118
POMGNT1	617	559	818
LURAP1	25	31	36
RAD54L	45	34	60
LRRC41	1105	974	1515
UQCRH	2646	2056	3650
NSUN4	377	327	529
FAAH	51	48	104
DMBX1	0	0	0
MKNK1-AS1	2	0	0
KNCN	0	0	0
MKNK1	364	345	625
MOB3C	300	261	369
ATPAF1	441	368	642
TEX38	0	0	0
EFCAB14-AS1	0	5	0
EFCAB14	1444	1481	2725
CYP4B1	21	25	27
CYP4Z2P	0	0	0
CYP4A11	0	0	0
CYP4X1	38	32	40
CYP4Z1	0	0	0
CYP4A22	0	0	0
LINC00853	4	2	8
PDZK1IP1	43	38	36
TAL1	0	0	0
STIL	103	84	157
CMPK1	1504	1192	2430
FOXE3	1	1	0
FOXD2-AS1	7	13	45
FOXD2	5	3	8
TRABD2B	31	33	30
SLC5A9	0	0	0
SPATA6	38	23	55
AGBL4	0	0	0
BEND5	0	0	0
ELAVL4	0	0	0
DMRTA2	43	68	69
FAF1	465	425	757
CDKN2C	96	62	108
C1orf185	0	0	0
RNF11	886	983	1518
TTC39A	87	69	118
EPS15	614	521	969
OSBPL9	1675	1596	3055
MIR761	0	0	0
RAB3B	250	177	431
TXNDC12	654	566	948
KTI12	0	0	0
BTF3L4	210	188	465
ZFYVE9	542	517	847
CC2D1B	678	625	916
ORC1	48	42	43
PRPF38A	343	326	600
GPX7	10	6	13
ZYG11B	339	271	557
ZYG11A	2	3	3
ECHDC2	180	230	338
SCP2	2013	1790	2928
PODN	0	0	0
SLC1A7	0	0	0
CPT2	565	482	687
C1orf123	253	205	337
MAGOH	724	530	851
LOC100507564	6	11	20
LRP8	265	252	480
SLC25A3P1	0	0	0
DMRTB1	0	0	0
GLIS1	0	1	0
YIPF1	569	487	699
DIO1	1	1	0
HSPB11	243	266	504
LRRC42	239	256	501
LDLRAD1	16	7	23
TMEM59	1511	1571	2835
TCEANC2	305	263	448
MIR4781	0	0	0
CDCP2	0	0	0
CYB5RL	13	6	20
MRPL37	1236	997	1421
SSBP3	303	334	407
ACOT11	74	61	145
FAM151A	4	1	6
MROH7	0	0	0
TTC4	15	16	31
PARS2	67	43	101
TTC22	73	47	77
DHCR24	9159	8271	12536
TMEM61	10	10	16
BSND	0	0	0
PCSK9	330	299	479
USP24	936	756	1481
LOC100507634	10	14	16
MIR4422	0	0	0
PRKAA2	101	105	199
C8A	0	0	0
C8B	8	6	9
DAB1	0	2	2
OMA1	201	233	648
TACSTD2	17848	19501	24884
MYSM1	384	363	809
JUN	2380	2182	3268
HSD52	0	0	0
FGGY	172	141	258
MIR4711	0	0	0
HOOK1	182	228	530
CYP2J2	59	51	98
C1orf87	0	0	0
NFIA	435	459	789
MGC34796	0	0	0
TM2D1	536	552	712
L1TD1	37	25	89
KANK4	334	293	492
USP1	122	163	390
DOCK7	840	828	1452
ANGPTL3	0	0	0
ATG4C	63	66	174
LINC00466	0	0	0
FOXD3	0	0	0
ALG6	21	42	91
ITGB3BP	22	49	168
EFCAB7	149	175	263
DLEU2L	7	6	12
PGM1	1187	1053	1785
ROR1	17	9	29
UBE2U	0	0	0
CACHD1	148	120	179
MIR4794	0	0	0
RAVER2	214	182	357
JAK1	1763	1592	2617
MIR3671	0	0	0
MIR101-1	0	0	0
AK4	1108	880	1487
DNAJC6	86	58	150
LEPROT	875	879	2003
LEPR	150	142	305
PDE4B	3	1	3
SGIP1	0	3	0
MIR3117	0	0	0
TCTEX1D1	0	0	0
INSL5	0	0	0
WDR78	47	64	135
MIER1	415	347	799
SLC35D1	414	476	829
C1orf141	0	0	0
IL23R	0	0	0
IL12RB2	16	12	11
SERBP1	5612	4555	7333
GADD45A	5779	5446	8129
GNG12	1400	1370	3145
GNG12-AS1	2	1	0
DIRAS3	0	1	0
WLS	931	864	1307
MIR1262	0	0	0
RPE65	0	0	0
DEPDC1	63	66	150
LRRC7	0	3	1
PIN1P1	0	0	0
LRRC40	133	168	463
SRSF11	4155	3573	4971
ANKRD13C	243	233	350
HHLA3	125	130	156
CTH	48	47	74
PTGER3	0	0	0
ZRANB2-AS1	12	20	8
ZRANB2	1010	907	1967
MIR186	0	0	0
ZRANB2-AS2	2	3	0
NEGR1	4	5	8
NEGR1-IT1	0	0	0
LRRIQ3	6	4	7
FPGT-TNNI3K	0	0	0
FPGT	80	79	164
TNNI3K	0	0	0
CRYZ	623	456	901
TYW3	414	406	839
LHX8	0	0	1
SLC44A5	61	76	139
ACADM	458	438	846
RABGGTB	1552	1337	2480
SNORD45C	0	0	1
SNORD45A	0	3	0
SNORD45B	0	0	0
MSH4	0	2	7
ASB17	0	1	0
ST6GALNAC3	0	1	1
ST6GALNAC5	47	30	61
PIGK	279	275	455
AK5	0	0	1
ZZZ3	557	472	871
USP33	287	360	674
NEXN	345	364	571
FUBP1	3424	2867	4609
DNAJB4	244	301	656
GIPC2	7	8	10
MGC27382	0	0	0
PTGFR	1	3	0
IFI44L	23	70	29
IFI44	169	156	249
MIR548AP	0	0	0
TTLL7	100	78	144
PRKACB	140	138	260
SAMD13	9	2	10
UOX	0	0	0
DNASE2B	0	0	0
RPF1	365	362	733
GNG5	412	488	970
CTBS	54	100	158
SSX2IP	135	175	343
LPAR3	209	206	429
MCOLN2	30	24	44
MCOLN3	198	216	325
WDR63	98	100	171
MIR4423	0	0	1
SYDE2	48	50	66
C1orf52	186	126	268
BCL10	264	261	445
LOC646626	26	16	21
DDAH1	97	67	137
CYR61	1835	1720	2940
ZNHIT6	642	579	976
COL24A1	2	2	1
ODF2L	338	351	782
CLCA2	3889	3675	6184
CLCA1	0	1	0
CLCA4	255	201	327
CLCA3P	5	3	17
SH3GLB1	1732	1590	2874
HS2ST1	174	201	363
LMO4	244	227	386
PKN2	674	711	1332
GTF2B	508	431	691
RBMXL1	265	221	366
GBP3	980	872	1442
GBP1	209	255	350
GBP2	54	59	79
GBP7	0	0	1
GBP4	14	20	44
GBP5	9	18	7
GBP6	1656	1544	2460
GBP1P1	9	27	16
LRRC8B	48	62	101
LRRC8C	253	210	457
LRRC8D	401	378	693
GEMIN8P4	9	2	11
ZNF326	858	745	1101
BARHL2	0	0	0
ZNF644	451	434	999
HFM1	0	2	1
CDC7	96	81	186
TGFBR3	29	34	33
BRDT	0	0	0
EPHX4	10	11	32
BTBD8	11	5	17
KIAA1107	70	78	163
C1orf146	0	0	0
GLMN	23	23	79
RPAP2	121	147	301
GFI1	5	1	0
EVI5	403	344	716
RPL5	11383	9399	16683
FAM69A	320	322	654
SNORD21	1	0	4
SNORA66	4	2	2
MTF2	210	189	393
TMED5	547	644	1062
CCDC18	59	45	133
DR1	591	545	1055
FNBP1L	1328	1227	2525
BCAR3	965	851	1362
LOC100129046	3	2	0
MIR760	0	0	0
DNTTIP2	900	865	1722
GCLM	545	504	761
ABCA4	3	11	15
ARHGAP29	504	543	1171
ABCD3	358	407	882
F3	9600	8527	13395
SLC44A3	187	176	285
CNN3	2177	1822	2740
LOC729970	9	7	9
ALG14	70	75	122
TMEM56	1	2	8
TMEM56-RWDD3	0	0	0
RWDD3	12	19	59
PTBP2	95	154	270
DPYD	56	31	76
DPYD-AS1	1	0	0
MIR137HG	0	0	3
MIR2682	0	0	0
MIR137	0	0	0
SNX7	438	455	848
LOC100129620	0	0	0
PALMD	285	258	435
MIR548AA1	0	0	0
MIR548D1	2	1	0
FRRS1	103	138	206
AGL	444	460	802
SLC35A3	189	266	631
SASS6	62	83	179
TRMT13	184	174	270
LRRC39	5	15	10
DBT	465	453	876
RTCA	791	772	1573
MIR553	0	0	0
CDC14A	17	23	58
GPR88	0	0	0
VCAM1	0	0	0
EXTL2	73	82	150
SLC30A7	243	227	482
DPH5	395	350	628
S1PR1	29	26	37
OLFM3	0	0	0
DNAJA1P5	0	0	0
COL11A1	0	2	1
RNPC3	194	259	433
AMY2B	44	53	67
ACTG1P4	2	0	0
AMY2A	0	0	1
AMY1A	0	0	0
AMY1C	0	0	0
AMY1B	0	0	0
LOC100129138	0	0	0
PRMT6	116	93	196
NTNG1	46	25	36
VAV3	378	394	713
VAV3-AS1	0	0	0
SLC25A24	832	722	1535
NBPF4	1	0	0
NBPF6	0	0	0
FAM102B	54	55	90
HENMT1	12	22	21
PRPF38B	2389	2142	2811
FNDC7	0	0	4
STXBP3	424	394	744
AKNAD1	1	7	2
GPSM2	407	318	711
CLCC1	477	454	684
WDR47	570	549	986
TAF13	617	508	1019
TMEM167B	292	288	475
SCARNA2	0	0	0
C1orf194	0	0	0
KIAA1324	15	14	18
SARS	3459	2856	4593
CELSR2	1258	1469	1887
PSRC1	133	123	193
MYBPHL	15	6	28
SORT1	1031	990	1415
PSMA5	974	779	1272
SYPL2	1	0	0
ATXN7L2	34	24	31
CYB561D1	284	298	386
AMIGO1	6	8	13
GPR61	0	0	0
GNAI3	979	890	1764
MIR197	0	0	3
GNAT2	0	1	1
AMPD2	346	278	481
GSTM4	42	50	51
GSTM2	20	34	23
GSTM1	44	39	71
GSTM5	0	0	0
GSTM3	133	107	170
EPS8L3	1	0	0
CSF1	169	192	210
AHCYL1	2090	1868	3313
STRIP1	395	395	604
ALX3	0	0	4
UBL4B	0	0	0
SLC6A17	5	2	4
KCNC4	77	67	73
RBM15	149	144	264
SLC16A4	318	336	598
LAMTOR5	553	434	907
PROK1	0	0	0
CYMP	1	0	2
KCNA10	0	0	0
KCNA2	0	0	0
KCNA3	0	0	0
CD53	0	0	0
LRIF1	163	217	364
DRAM2	590	592	1066
CEPT1	675	584	1154
DENND2D	298	254	394
CHI3L2	3	0	3
CHIAP2	0	0	0
CHIA	0	0	0
PIFO	9	15	10
PGCP1	0	0	0
OVGP1	37	41	91
WDR77	774	646	1184
C1orf162	7	7	15
ADORA3	0	0	0
RAP1A	620	509	784
DDX20	239	222	406
KCND3	6	0	0
CTTNBP2NL	1160	993	1672
MIR4256	0	0	0
WNT2B	5	6	14
ST7L	120	97	178
CAPZA1	1979	1986	3638
MOV10	827	850	1102
RHOC	4242	3841	6336
PPM1J	66	60	81
FAM19A3	0	1	3
SLC16A1	2584	2471	4230
AKR7A2P1	0	2	0
LRIG2	107	69	166
LOC643441	0	0	0
MAGI3	191	176	255
PHTF1	199	169	266
RSBN1	136	149	277
PTPN22	2	2	7
AP4B1-AS1	1	5	0
BCL2L15	10	3	28
AP4B1	146	121	154
DCLRE1B	159	117	242
HIPK1	666	536	861
OLFML3	7	7	11
SYT6	0	0	0
TRIM33	736	794	1382
BCAS2	355	362	766
DENND2C	191	175	306
AMPD1	1	1	0
NRAS	502	517	1121
CSDE1	9757	8369	14749
SIKE1	237	227	481
SYCP1	0	0	0
TSHB	0	0	0
TSPAN2	8	6	21
NGF	0	6	4
VANGL1	882	930	1472
CASQ2	1	3	4
NHLH2	40	37	56
SLC22A15	311	303	511
MAB21L3	36	31	56
ATP1A1	9460	8744	13150
CD58	72	127	290
IGSF3	2359	2207	3774
MIR320B1	0	0	0
