	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
MTMR9LP	5	4	11
FAM167B	1	3	1
LCK	0	2	8
HDAC1	1754	1744	5334
MARCKSL1	1016	904	2898
FAM229A	0	3	5
TSSK3	1	0	0
BSDC1	1290	1104	3612
ZBTB8B	2	0	0
ZBTB8A	56	61	154
ZBTB8OS	376	493	1173
RBBP4	766	790	2287
SYNC	297	289	818
KIAA1522	3613	3087	9280
YARS	1627	1740	4969
S100PBP	203	229	599
FNDC5	0	0	0
HPCA	2	1	5
TMEM54	493	278	1004
RNF19B	380	361	1054
AK2	2296	2433	6839
TRIM62	157	101	329
ZNF362	129	87	266
PHC2	744	678	2143
MIR3605	0	0	4
ZSCAN20	103	94	338
CSMD2	1	2	2
HMGB4	0	0	0
C1orf94	0	0	0
GJB5	626	618	1982
GJB4	305	259	798
GJB3	1262	1046	3643
GJA4	0	1	0
SMIM12	579	641	1796
DLGAP3	0	1	0
LOC653160	12	20	52
ZMYM6	393	382	1060
ZMYM1	78	88	250
SFPQ	3012	3518	9571
ZMYM4	888	1078	2852
KIAA0319L	672	699	2155
NCDN	389	263	905
TFAP2E	6	7	9
PSMB2	2144	2108	6735
C1orf216	108	91	294
CLSPN	160	177	582
AGO4	274	304	893
AGO1	296	267	893
AGO3	115	147	394
TEKT2	0	0	3
ADPRHL2	660	586	1652
COL8A2	13	8	27
TRAPPC3	727	740	2489
MAP7D1	2525	1793	5999
THRAP3	3732	3958	11650
SH3D21	360	345	1100
EVA1B	9	0	20
STK40	225	196	588
LSM10	151	98	401
OSCP1	76	73	206
MRPS15	1092	1190	3797
CSF3R	0	0	0
GRIK3	1	1	0
MIR4255	0	0	0
ZC3H12A	1175	867	2618
MEAF6	348	350	974
MIR5581	0	1	4
SNIP1	255	269	832
DNALI1	40	37	110
GNL2	1040	1202	3078
RSPO1	1	0	0
C1orf109	172	177	613
CDCA8	131	103	350
EPHA10	3	1	0
MANEAL	12	11	26
YRDC	166	157	507
C1orf122	159	134	467
MTF1	507	509	1560
INPP5B	87	60	204
SF3A3	896	1038	3241
FHL3	147	146	464
POU3F1	3	0	5
MIR3659	0	0	0
RRAGC	387	429	1103
GJA9-MYCBP	0	2	0
MYCBP	0	0	0
GJA9	0	0	0
RHBDL2	526	522	1527
AKIRIN1	1030	1102	3136
NDUFS5	2143	2587	7750
MACF1	5638	6286	18324
KIAA0754	109	110	361
BMP8A	2	0	2
PPIEL	4	17	20
PABPC4	2723	2843	8193
SNORA55	2	1	2
HEYL	0	0	2
NT5C1A	0	0	0
HPCAL4	2	1	4
PPIE	276	321	1077
BMP8B	1	0	2
OXCT2	7	4	17
TRIT1	245	280	786
MFSD2A	495	391	1121
CAP1	11349	12948	40741
PPT1	622	715	1854
RLF	339	372	957
TMCO2	0	1	0
ZMPSTE24	485	534	1591
COL9A2	19	16	66
SMAP2	310	296	1108
ZFP69B	33	38	91
ZFP69	53	52	133
EXO5	57	41	113
ZNF684	8	15	60
RIMS3	29	27	90
NFYC	278	265	859
MIR30E	0	0	0
MIR30C1	0	0	0
KCNQ4	2	0	5
CITED4	331	262	1067
CTPS1	1037	1089	3111
SLFNL1-AS1	16	14	24
SLFNL1	0	0	4
SCMH1	287	283	808
EDN2	0	1	6
HIVEP3	29	34	92
GUCA2B	0	0	0
GUCA2A	0	0	0
FOXJ3	1116	1177	3109
RIMKLA	0	1	0
ZMYND12	2	5	3
PPCS	307	295	785
CCDC30	7	1	22
PPIH	547	623	1510
YBX1	19417	17978	56479
CLDN19	0	0	0
C1orf50	63	72	232
ERMAP	136	137	383
ZNF691	87	77	228
SLC2A1	6655	5885	16607
SLC2A1-AS1	23	12	63
FAM183A	7	9	22
EBNA1BP2	1118	1155	3616
TMEM125	53	50	179
C1orf210	61	51	161
TIE1	0	0	0
MPL	3	3	1
CDC20	208	220	589
ELOVL1	1360	1354	4077
MED8	246	239	801
SZT2	543	490	1530
HYI	353	301	934
PTPRF	7615	5740	18112
KDM4A	938	1090	2968
KDM4A-AS1	9	11	33
ST3GAL3	86	57	203
ARTN	232	195	518
IPO13	738	591	1975
DPH2	222	177	689
ATP6V0B	500	431	1361
B4GALT2	883	699	2128
CCDC24	200	133	467
SLC6A9	146	98	322
KLF17	0	2	1
DMAP1	196	180	508
ERI3	312	244	760
RNF220	471	439	1315
MIR5584	0	0	0
TMEM53	70	58	140
KIF2C	77	95	321
RPS8	6281	6361	19630
SNORD55	0	1	1
SNORD46	2	2	1
SNORD38A	2	0	1
SNORD38B	6	2	18
BEST4	3	1	10
PLK3	400	344	980
TCTEX1D4	0	0	4
BTBD19	45	27	114
PTCH2	8	9	14
EIF2B3	189	190	545
HECTD3	884	842	2451
UROD	741	727	2049
ZSWIM5	2	4	17
HPDL	3	0	9
MUTYH	71	37	167
TOE1	68	75	232
TESK2	37	31	106
MMACHC	102	88	263
PRDX1	4728	5195	15681
AKR1A1	500	419	1156
NASP	637	813	2139
CCDC17	7	10	17
GPBP1L1	815	862	2441
RPS15AP10	1	0	4
TMEM69	434	398	1144
IPP	102	126	376
MAST2	542	452	1433
PIK3R3	354	386	956
TSPAN1	3805	4036	11742
POMGNT1	631	598	1582
LURAP1	21	25	70
RAD54L	33	34	79
LRRC41	1092	979	2722
UQCRH	1923	2124	6868
NSUN4	292	322	994
FAAH	41	31	101
DMBX1	0	0	0
MKNK1-AS1	0	0	6
KNCN	0	0	0
MKNK1	365	370	1212
MOB3C	258	277	790
ATPAF1	284	301	1012
TEX38	0	1	0
EFCAB14-AS1	2	1	0
EFCAB14	1249	1325	3950
CYP4B1	15	8	35
CYP4Z2P	0	0	0
CYP4A11	0	0	0
CYP4X1	27	30	81
CYP4Z1	0	1	0
CYP4A22	0	0	0
LINC00853	1	4	6
PDZK1IP1	192	146	460
TAL1	0	0	0
STIL	91	105	299
CMPK1	1441	1507	4556
FOXE3	0	0	1
FOXD2-AS1	14	13	39
FOXD2	4	2	8
TRABD2B	29	17	77
SLC5A9	1	0	0
SPATA6	18	21	48
AGBL4	0	0	0
BEND5	0	1	1
ELAVL4	0	0	0
DMRTA2	61	40	101
FAF1	404	410	1121
CDKN2C	24	57	135
C1orf185	0	0	0
RNF11	665	763	2097
TTC39A	67	66	184
EPS15	479	494	1675
OSBPL9	1359	1560	4035
MIR761	0	0	0
RAB3B	204	205	605
TXNDC12	441	577	1730
KTI12	0	0	0
BTF3L4	174	176	581
ZFYVE9	443	471	1499
CC2D1B	616	577	1746
ORC1	25	28	103
PRPF38A	266	301	913
GPX7	12	12	21
ZYG11B	280	251	769
ZYG11A	3	2	5
ECHDC2	231	165	512
SCP2	1117	1408	4128
PODN	0	0	0
SLC1A7	0	0	0
CPT2	374	384	1157
C1orf123	209	193	663
MAGOH	501	544	1726
LOC100507564	3	7	16
LRP8	274	316	834
SLC25A3P1	0	0	0
DMRTB1	0	0	0
GLIS1	0	0	0
YIPF1	439	521	1252
DIO1	1	0	0
HSPB11	197	232	531
LRRC42	211	220	743
LDLRAD1	2	9	35
TMEM59	1432	1300	3270
TCEANC2	180	259	698
MIR4781	0	0	0
CDCP2	0	0	0
CYB5RL	13	7	33
MRPL37	1073	1032	3046
SSBP3	275	263	684
ACOT11	82	67	204
FAM151A	2	0	8
MROH7	0	0	0
TTC4	15	10	28
PARS2	63	72	168
TTC22	80	64	152
DHCR24	7650	7017	22323
TMEM61	15	7	29
BSND	0	0	0
PCSK9	418	336	1001
USP24	737	816	2256
LOC100507634	4	4	23
MIR4422	0	0	0
PRKAA2	90	84	187
C8A	0	0	0
C8B	5	4	3
DAB1	1	0	0
OMA1	211	221	541
TACSTD2	18592	15773	39249
MYSM1	323	281	807
JUN	2184	2176	6064
HSD52	0	0	0
FGGY	123	166	311
MIR4711	0	0	0
HOOK1	152	151	443
CYP2J2	54	55	172
C1orf87	0	0	0
NFIA	375	346	1036
MGC34796	0	0	0
TM2D1	617	389	1094
L1TD1	38	48	142
KANK4	241	300	691
USP1	123	96	315
DOCK7	745	833	2412
ANGPTL3	0	0	0
ATG4C	66	71	204
LINC00466	0	0	0
FOXD3	0	0	0
ALG6	31	32	62
ITGB3BP	39	41	115
EFCAB7	84	102	243
DLEU2L	5	5	10
PGM1	953	965	2943
ROR1	29	22	25
UBE2U	0	0	0
CACHD1	123	116	375
MIR4794	0	0	0
RAVER2	147	181	532
JAK1	1556	1829	4806
MIR3671	0	0	0
MIR101-1	0	0	0
AK4	819	899	2705
DNAJC6	78	60	208
LEPROT	744	730	2296
LEPR	156	149	328
PDE4B	4	10	13
SGIP1	2	2	9
MIR3117	0	0	0
TCTEX1D1	0	0	0
INSL5	0	0	0
WDR78	54	50	121
MIER1	266	331	897
SLC35D1	344	326	902
C1orf141	0	0	0
IL23R	0	0	0
IL12RB2	17	8	23
SERBP1	5038	4723	13535
GADD45A	4780	5905	14920
GNG12	1543	1226	4347
GNG12-AS1	3	2	4
DIRAS3	0	2	0
WLS	604	671	1845
MIR1262	0	0	0
RPE65	0	0	0
DEPDC1	55	52	125
LRRC7	0	0	0
PIN1P1	0	0	0
LRRC40	138	141	423
SRSF11	2677	3437	8938
ANKRD13C	209	190	608
HHLA3	85	125	279
CTH	37	36	129
PTGER3	0	1	3
ZRANB2-AS1	6	17	32
ZRANB2	778	797	2277
MIR186	0	0	0
ZRANB2-AS2	0	2	6
NEGR1	5	6	14
NEGR1-IT1	0	0	0
LRRIQ3	2	5	1
FPGT-TNNI3K	0	0	0
FPGT	36	53	176
TNNI3K	0	0	0
CRYZ	410	440	1356
TYW3	383	408	1210
LHX8	0	0	0
SLC44A5	40	54	130
ACADM	420	383	1100
RABGGTB	1137	1493	3748
SNORD45C	1	1	0
SNORD45A	1	8	0
SNORD45B	1	0	0
MSH4	0	3	4
ASB17	0	0	0
ST6GALNAC3	0	1	0
ST6GALNAC5	28	35	70
PIGK	231	236	668
AK5	1	0	1
ZZZ3	391	474	1297
USP33	263	315	780
NEXN	243	318	825
FUBP1	2405	2936	8203
DNAJB4	174	221	568
GIPC2	1	5	4
MGC27382	0	0	0
PTGFR	1	0	0
IFI44L	128	163	586
IFI44	248	278	816
MIR548AP	0	0	0
TTLL7	81	91	234
PRKACB	93	85	250
SAMD13	3	5	3
UOX	0	0	3
DNASE2B	0	0	0
RPF1	397	390	1103
GNG5	431	383	1283
CTBS	80	58	171
SSX2IP	94	135	326
LPAR3	162	165	581
MCOLN2	21	21	47
MCOLN3	110	141	357
WDR63	55	66	219
MIR4423	0	1	0
SYDE2	28	29	70
C1orf52	150	152	405
BCL10	200	271	674
LOC646626	3	8	32
DDAH1	78	75	252
CYR61	1791	2010	6098
ZNHIT6	534	585	1747
COL24A1	4	2	12
ODF2L	327	383	946
CLCA2	2336	2531	6683
CLCA1	0	0	1
CLCA4	152	163	458
CLCA3P	9	4	14
SH3GLB1	1435	1596	4366
HS2ST1	141	150	425
LMO4	186	176	414
PKN2	529	598	1839
GTF2B	389	454	1151
RBMXL1	164	216	594
GBP3	838	960	2570
GBP1	267	287	724
GBP2	60	47	96
GBP7	0	0	0
GBP4	10	15	36
GBP5	39	27	94
GBP6	998	1117	3526
GBP1P1	5	15	24
LRRC8B	55	70	178
LRRC8C	231	230	714
LRRC8D	373	361	1135
GEMIN8P4	5	2	17
ZNF326	593	696	1845
BARHL2	0	0	0
ZNF644	380	385	1071
HFM1	0	0	0
CDC7	65	72	239
TGFBR3	20	20	64
BRDT	0	0	0
EPHX4	10	12	28
BTBD8	13	7	17
KIAA1107	68	58	184
C1orf146	0	0	0
GLMN	21	28	73
RPAP2	123	146	315
GFI1	2	0	21
EVI5	338	318	1022
RPL5	8775	9154	28935
FAM69A	283	331	786
SNORD21	1	1	3
SNORA66	0	1	2
MTF2	188	198	535
TMED5	455	454	1485
CCDC18	46	43	154
DR1	463	479	1356
FNBP1L	1060	1148	3231
BCAR3	970	881	2845
LOC100129046	1	2	17
MIR760	0	0	0
DNTTIP2	853	929	2628
GCLM	436	461	1265
ABCA4	7	7	26
ARHGAP29	365	383	1301
ABCD3	370	310	877
F3	10120	11091	31900
SLC44A3	131	151	354
CNN3	1478	1763	4972
LOC729970	0	7	12
ALG14	74	78	194
TMEM56	1	3	4
TMEM56-RWDD3	1	0	0
RWDD3	26	20	70
PTBP2	86	89	264
DPYD	43	43	90
DPYD-AS1	0	0	0
MIR137HG	0	0	0
MIR2682	0	0	0
MIR137	0	0	0
SNX7	351	395	1048
LOC100129620	0	0	0
PALMD	141	197	527
MIR548AA1	0	0	0
MIR548D1	3	2	1
FRRS1	84	91	181
AGL	357	354	1058
SLC35A3	195	195	629
SASS6	55	56	147
TRMT13	120	139	466
LRRC39	7	15	20
DBT	390	400	1083
RTCA	918	797	2140
MIR553	1	0	1
CDC14A	16	19	44
GPR88	0	0	0
VCAM1	0	0	0
EXTL2	48	44	126
SLC30A7	227	192	602
DPH5	302	372	1026
S1PR1	18	15	62
OLFM3	0	0	0
DNAJA1P5	0	0	0
COL11A1	1	1	8
RNPC3	160	160	427
AMY2B	38	45	110
ACTG1P4	1	0	1
AMY2A	0	0	1
AMY1A	0	0	0
AMY1C	0	0	0
AMY1B	0	0	0
LOC100129138	0	0	0
PRMT6	111	77	249
NTNG1	30	26	110
VAV3	220	255	698
VAV3-AS1	0	0	0
SLC25A24	682	645	1956
NBPF4	0	0	0
NBPF6	0	0	0
FAM102B	24	42	131
HENMT1	11	13	47
PRPF38B	1577	2070	5775
FNDC7	0	1	0
STXBP3	295	388	984
AKNAD1	3	2	11
GPSM2	242	272	712
CLCC1	383	419	1184
WDR47	506	557	1671
TAF13	434	513	1624
TMEM167B	251	249	777
SCARNA2	1	0	0
C1orf194	0	0	0
KIAA1324	6	13	22
SARS	3237	3144	9278
CELSR2	1231	915	2946
PSRC1	71	84	293
MYBPHL	16	12	44
SORT1	746	739	2242
PSMA5	811	918	2797
SYPL2	3	0	0
ATXN7L2	36	32	74
CYB561D1	200	191	585
AMIGO1	3	4	18
GPR61	0	0	0
GNAI3	845	918	2733
MIR197	0	0	1
GNAT2	0	0	2
AMPD2	367	291	824
GSTM4	33	46	108
GSTM2	12	15	36
GSTM1	40	31	89
GSTM5	0	0	0
GSTM3	99	108	358
EPS8L3	1	0	3
CSF1	230	204	526
AHCYL1	1634	1826	5293
STRIP1	360	388	1107
ALX3	2	2	0
UBL4B	0	0	0
SLC6A17	2	1	6
KCNC4	82	51	200
RBM15	149	136	380
SLC16A4	244	256	845
LAMTOR5	416	487	1385
PROK1	0	0	0
CYMP	1	1	0
KCNA10	0	0	1
KCNA2	1	0	0
KCNA3	0	0	0
CD53	0	0	0
LRIF1	160	164	409
DRAM2	475	573	1300
CEPT1	555	540	1338
DENND2D	242	253	727
CHI3L2	0	5	24
CHIAP2	0	0	0
CHIA	0	0	0
PIFO	6	4	17
PGCP1	0	0	0
OVGP1	33	44	174
WDR77	615	645	2088
C1orf162	3	5	24
ADORA3	0	0	0
RAP1A	394	454	1312
DDX20	227	264	691
KCND3	1	5	2
CTTNBP2NL	999	1021	2994
MIR4256	0	1	0
WNT2B	9	7	13
ST7L	67	99	234
CAPZA1	1539	1784	5044
MOV10	817	712	1995
RHOC	4774	4012	12683
PPM1J	71	61	178
FAM19A3	1	2	0
SLC16A1	2369	2619	6471
AKR7A2P1	0	0	0
LRIG2	89	94	261
LOC643441	0	0	0
MAGI3	157	136	446
PHTF1	132	169	489
RSBN1	154	113	306
PTPN22	2	7	8
AP4B1-AS1	2	0	3
BCL2L15	16	10	22
AP4B1	111	130	381
DCLRE1B	130	136	405
HIPK1	514	521	1627
OLFML3	13	10	35
SYT6	0	0	0
TRIM33	748	674	2087
BCAS2	308	307	805
DENND2C	181	168	489
AMPD1	0	0	0
NRAS	449	434	1375
CSDE1	7846	8400	24691
SIKE1	200	204	627
SYCP1	0	0	0
TSHB	0	0	0
TSPAN2	5	15	16
