	logFC	logCPM	F	PValue	FDR
IL1B	1.05304900698371	8.36262335003799	131.713443277546	1.36162491609752e-08	5.36874998890826e-06
PDZK1IP1	2.42370189388872	3.33873865624728	131.628549250124	1.36732209455341e-08	5.36874998890826e-06
IL32	1.21112813043847	6.00736094489013	128.415052361733	1.60436995907765e-08	6.11952541533905e-06
TNFAIP2	1.53973796381558	5.78184478477242	126.82830848718	1.73849040981088e-08	6.446901936382e-06
IRAK2	1.59086940779989	3.85587659525738	125.123946002212	1.89700084046291e-08	6.84458411356213e-06
PLAT	1.38681114753317	5.06526578775816	123.992269251081	2.01135308698231e-08	7.06620097663522e-06
OAS1	1.68874804994669	3.91406546688834	118.840970771605	2.64189536224295e-08	9.04341104767777e-06
OAS2	1.25763322390855	5.63846309298674	115.199153608796	3.2244971360398e-08	1.07617591915328e-05
OAS3	1.31101812107104	6.19700259416671	112.560551672095	3.73865151264857e-08	1.21734140716728e-05
MMP9	2.27359629930066	4.56300947636999	104.828517066264	5.87581217873593e-08	1.86766887109821e-05
HEPHL1	1.29861836014299	4.12210510375599	101.01548669172	7.42485832130867e-08	2.30515950208071e-05
SERPINA3	1.45733498933353	7.31067996910269	99.8772003594943	7.97412198519012e-08	2.41942110232473e-05
NFKB2	0.960262247341926	6.4678215111442	97.4362191494304	9.31568629916977e-08	2.76365360208703e-05
MAFF	1.12513668494927	5.07586004702447	95.6330808459219	1.04728401017058e-07	3.03940033386461e-05
C1QTNF1	1.85658281877957	3.08768185332915	91.8894203443197	1.34395642634808e-07	3.77946122107237e-05
IER3	0.943012314160224	8.56228874283149	91.7263836857728	1.35890740532939e-07	3.77946122107237e-05
CSF2	2.9899586752875	1.90825953470638	86.9960780842356	1.88774900431693e-07	5.08619157060006e-05
CXCL2	1.38447650219698	5.47364604882956	86.8686839057115	1.90494066314609e-07	5.08619157060006e-05
NFKBIA	0.885434383322062	7.43127096527704	86.4223498605126	1.96659705699678e-07	5.14785700213864e-05
NFKBIZ	0.899546807130986	6.42556524193176	85.1850356193879	2.14977080996655e-07	5.51912313712567e-05
BPGM	0.948340053581314	5.94612910569529	79.172869712902	3.3692587474065e-07	8.48671778827863e-05
CXCL3	2.23611214195826	3.56192555028102	76.3054503353519	4.21821464788083e-07	0.000104283639905943
BCL2A1	2.25337376586285	2.38630769618297	72.4064425137331	5.79400616695936e-07	0.000139150979026499
IL1A	1.06304418347977	7.2974273894272	72.3175926648082	5.83704481309657e-07	0.000139150979026499
KRT15	-0.944892610296575	9.63282960005091	71.2443129437789	6.38681667722002e-07	0.000149585969545416
IFITM1	1.61133143492699	3.14824209636659	70.3506700904013	6.88992640666115e-07	0.000158587099187804
XAF1	2.5375512979722	2.86933649446977	69.6302076297903	7.32859963817267e-07	0.000165825093507805
OLFML2A	-0.964363974400113	4.95317452262389	66.9771917208708	9.24244490028411e-07	0.000205644399031322
IVL	1.031025153907	7.3291617644929	63.4312413703708	1.27589072759962e-06	0.000279231823171393
G0S2	0.829949959669128	7.50658333900282	61.2567319868073	1.56650587141735e-06	0.00033730408682938
MXRA5	-0.917086943772966	5.75564554364804	58.7717717845219	1.99537809753761e-06	0.000422830120668683
EFNA1	0.71801320195565	6.60976823926035	58.5814602477792	2.03340171472463e-06	0.000424154888930841
SERPINB1	0.72172158074935	7.08436826126523	58.2771750131473	2.09592705337642e-06	0.000430471171731926
IFITM10	-1.57640206420784	3.85733869201954	58.0113692778786	2.15234487176091e-06	0.000435360667242548
IFI6	2.41363854135557	3.97233791524857	57.2997061580256	2.31212423633296e-06	0.000460699381418581
TGM1	0.785479698698274	5.95200522365633	56.0933064781585	2.61490866282488e-06	0.000513368097775179
TFCP2L1	-0.641856329185713	6.64316431988661	55.7733537086804	2.70263586016456e-06	0.000518992785151792
EDN1	1.05165981916741	4.27073841652556	55.7067738665498	2.72131048394198e-06	0.000518992785151792
VNN1	1.87521147961611	1.93773810912635	54.8983388096758	2.96021705818906e-06	0.000550486225449617
PI3	1.80457850226069	2.47496607611706	54.8703256251935	2.96891447433501e-06	0.000550486225449617
THBD	-0.992571417505008	4.92833461278775	54.7129647305667	3.01831637860886e-06	0.000551979776088059
IFI44	0.874014542524817	4.40767381849025	54.5160546428732	3.08146063494861e-06	0.000555912155088702
PDGFB	1.00620628521588	4.09845697318705	54.0191325826927	3.24762319249112e-06	0.000578076928263419
TSC22D3	-0.727241069310938	5.63739785140423	52.9726385407388	3.63210823735827e-06	0.000637606542134715
S100P	0.68198928585946	5.68608737513519	52.8572856425471	3.67758080482195e-06	0.000637606542134715
GPNMB	-0.807975231973192	7.26818751624499	51.2893626129562	4.3647769573795e-06	0.000747048363859184
XDH	0.720902235409605	5.69997398181886	48.662282055104	5.87202615408638e-06	0.00099229809059561
TUBA1C	0.655599432451239	8.04816406359805	48.2157096181698	6.18346710012841e-06	0.00103186607233393
PLSCR1	0.837928528837298	5.05487929160155	47.7559182467861	6.52397719210645e-06	0.0010752480927731
CLCA2	-0.552420176120583	8.21597306235336	46.0442218200908	7.99389921717472e-06	0.00130144578718637
METTL7A	-1.0439903963753	3.49551214098743	45.7614598573849	8.27146873649088e-06	0.00130462594921372
COL8A1	0.652883702681395	5.68883533238802	45.7079422841826	8.32523236261049e-06	0.00130462594921372
MYLK	-1.45956299835282	2.75456354147377	45.5946211993313	8.4403956517488e-06	0.00130462594921372
PARP12	0.771808667761949	4.7321763710823	45.5804582042839	8.45491624992117e-06	0.00130462594921372
ADRB2	0.691762543313202	5.4795666318651	45.5346692235789	8.50205674768492e-06	0.00130462594921372
STC1	0.730755450439702	5.73981346033345	45.079573487783	8.98725245833809e-06	0.00134382324212995
SOCS3	1.02745819651227	3.83886033640821	45.040400049009	9.0304729547478e-06	0.00134382324212995
NEDD9	0.629649795364924	6.07949420188262	45.0142266328385	9.05948253121313e-06	0.00134382324212995
IFI44L	2.35066550025187	3.38631318592544	44.7166969886995	9.39683755904884e-06	0.00137854704849782
MX2	2.25169546340567	2.30140368237278	44.2097149605592	1.00052474918519e-05	0.00145184841321982
PARP9	0.656673991901641	6.01890749073782	43.9816497712594	1.02935093376437e-05	0.00147565805389066
TNFSF14	1.96787105210486	1.38476372878402	43.9066233854521	1.03904012783313e-05	0.00147565805389066
KYNU	0.829823029396732	6.58495854808494	43.5638223355484	1.08465567113119e-05	0.00152422665364225
TNF	1.78561041425229	1.53426988157513	43.0487007899721	1.15756541561891e-05	0.00160973940609505
DRAM1	0.692484649367015	5.41348782926717	42.3648877866723	1.26315451655006e-05	0.00173846523669518
VTCN1	-1.08832945017739	3.76990221354309	42.281875690738	1.27670521108026e-05	0.00173918515999199
MMP1	0.759244736745619	5.26866052956123	41.9274392490743	1.33645968761503e-05	0.00180219563935966
RHOV	0.662051881969037	5.28476772070334	41.4830777411944	1.41593574126523e-05	0.00189027421458908
MAF	-0.84895601798948	5.80602980982085	41.0041236686699	1.50770049259314e-05	0.00199285164119984
ITGB3	1.18848971262555	2.80986608268311	40.772359592593	1.55452921133128e-05	0.0020346044089483
CXCL14	-1.46488484110756	2.92112741813006	40.4514572443023	1.62213457036778e-05	0.00210247538974853
PLAU	0.536938123997688	9.61482728019152	40.2079404686229	1.67567949945674e-05	0.0021509924343988
RND1	1.50671464254941	2.11986872234084	39.8999051347685	1.74632431350046e-05	0.00222032662716487
DUSP4	0.634655846327571	6.71196214698352	39.7811298018716	1.77446752231946e-05	0.00223482466254385
KRT24	1.79116661718688	1.50548602521939	39.7088902881435	1.7918373038676e-05	0.0022356100940778
TGM2	0.709866491773178	7.97199550865837	39.4049797365301	1.86706854313532e-05	0.00230790417137561
SLPI	0.571340439115796	6.96464120966082	39.1710831710057	1.92742710102508e-05	0.00236065612831971
S100A7	4.17032824286524	0.0587351080769163	38.6209166078078	2.07838666778577e-05	0.00252240563772182
IFITM3	0.768507182541797	7.31307104753952	38.2166170056998	2.19794184425028e-05	0.00264347059646317
MYEOV	1.28288442983307	2.43852999466204	37.8914303524714	2.29981623147731e-05	0.00274129881162697
FOSL1	0.581517039766537	6.47660761069283	37.2306457353456	2.52388134690432e-05	0.00298175362665245
CYP27B1	1.19367590969034	2.82990643404393	36.9215600059338	2.63717181156879e-05	0.00308826698986345
VNN3	2.68314409713858	0.319142068120854	35.7492408647998	3.12291837902394e-05	0.00358150090949578
TUBA1A	0.550150433757304	8.91647864190813	35.7162568455329	3.13799316225096e-05	0.00358150090949578
ITGA5	0.50432186189976	8.55763535171901	35.6644172250957	3.16185372021999e-05	0.00358150090949578
ADAM8	1.00792544029444	3.90744658928322	35.6561647455481	3.16567121588391e-05	0.00358150090949578
MAP7D2	-1.40536973909859	2.03529452711108	35.2600664903364	3.35524105387695e-05	0.00376407294699641
EPHA4	-0.835855147287212	3.64254472726469	34.75341880205	3.6169004581661e-05	0.00402380175970979
PBX1	-0.670931165482727	4.65069390345158	34.6391408428916	3.67909238238501e-05	0.0040591639094909
ZBED2	0.60512029360031	6.2311636461896	34.4967598662638	3.75829332273762e-05	0.0041125586769301
KRT4	1.01227820269138	4.76144410715537	34.2415012815511	3.9052059178473e-05	0.0042385771547367
PLAUR	0.672890265211805	5.52703533256122	33.9804886381692	4.06224829270536e-05	0.00435981034137494
PPARGC1A	-1.05004675539801	2.5385332949732	33.9481227620412	4.08221942076305e-05	0.00435981034137494
IRF7	1.56223337126319	2.09204123643389	33.7577208596553	4.20199935715544e-05	0.00445211836650993
FEZ1	0.622140420974827	6.25334063512977	33.6161954074029	4.29363306846157e-05	0.00451338594204425
STAT1	0.513938430917551	7.02640008972227	33.3740692958632	4.45574346822807e-05	0.00460926972521904
IFIH1	0.665308282132876	4.49174006005928	33.3469073947708	4.47436110099177e-05	0.00460926972521904
ALOX15B	0.549244305552486	6.73207024993863	33.3264709326855	4.48842744777884e-05	0.00460926972521904
PCDH7	-0.628104664535622	5.15162289767631	33.1985034398641	4.57766328542352e-05	0.00466502327178657
DUSP10	-0.569084089668971	6.05291845198772	33.1022599740151	4.64611211657985e-05	0.00466973094890846
GJB2	0.47691669066725	7.53586117079455	33.0675983181412	4.67104923148408e-05	0.00466973094890846
CPA4	-0.507458923097099	7.68015651082945	33.0452334582593	4.68722057793059e-05	0.00466973094890846
ASS1	0.503252803569108	6.78077855547861	32.8198563432973	4.85380090829212e-05	0.00477380862556092
SERPINB2	0.697380160815937	8.13383707071865	32.7859656407799	4.87943008065928e-05	0.00477380862556092
MAP3K8	1.04936663409541	2.44177328266849	32.7244511392034	4.92634486924744e-05	0.00477380862556092
PROS1	-0.666423484301568	4.6320626081194	32.7135354647321	4.93472352305174e-05	0.00477380862556092
BMP2	0.775599533066544	4.19422280128858	32.6468417433495	4.98627100171404e-05	0.00478897250884046
SLITRK6	-0.61180204251458	5.75705746359177	32.3920713179692	5.18892159088327e-05	0.00494800737416369
RHOF	0.771507666784625	5.02399112042097	32.0613401279549	5.46617104794236e-05	0.00517541726879649
NFKB1	0.497567970883494	6.3029235438651	31.7963495170063	5.70054997912405e-05	0.00535931987473986
PRDM1	0.699975667112454	4.18268786665719	31.7487428982127	5.74386199361192e-05	0.00536227675627407
NID1	-1.2553749259677	2.52488882766984	31.5996755384643	5.881931200594e-05	0.00540284735275737
KCTD11	0.445485046940772	8.2307925800304	31.5723054964134	5.90769152539196e-05	0.00540284735275737
EHD1	0.630797360279568	6.13235186097198	31.5712029357729	5.90873193634888e-05	0.00540284735275737
TRIML2	1.40939911838147	1.94529688948889	30.9287930210104	6.55211318291509e-05	0.00589318486054619
CSTB	0.643370774292142	9.82564265427403	30.9247803333571	6.55637587911438e-05	0.00589318486054619
TYMP	1.02968265559296	4.80384425981294	30.9050212107486	6.57741231626504e-05	0.00589318486054619
SLC25A37	0.613290698452639	5.01113150063383	30.8241851383996	6.6642801980118e-05	0.00591392793323906
ENDOD1	-0.479974391622782	6.87500658600734	30.8012525500202	6.68916193197826e-05	0.00591392793323906
KRT23	0.578131492052072	6.08881266576274	30.5002697715915	7.02575555543873e-05	0.00615482798382699
CD109	-0.456525914040423	8.87039106352052	30.4758969961451	7.05384780168936e-05	0.00615482798382699
TUBB3	0.650825149774212	7.78923607264136	30.3435663823923	7.20862964758827e-05	0.00622295598907226
CDC42EP2	0.726476005080347	4.73629822100394	30.3021220627417	7.25790012116144e-05	0.00622295598907226
IKBKE	0.696930404640712	4.67991773376201	30.2905142043339	7.27176879621927e-05	0.00622295598907226
VAV3	-0.650209621309122	4.95632391737535	30.2285771907589	7.34628239295724e-05	0.00624667961439358
MRGPRX3	1.90807910937015	1.03145499251265	30.0664695702242	7.54546854670672e-05	0.00637544336066676
HCAR3	0.614288256677515	5.15049677427826	29.7836878963361	7.90787471860688e-05	0.00663963065996238
ATG9B	-1.14798285015723	2.30113680020312	29.6384806264188	8.1016669713967e-05	0.00675982837925912
TNC	0.545376575565823	7.78939980659895	29.5980337501858	8.15660857388648e-05	0.0067633990348686
PRSS23	-0.464906339467897	8.52054608130475	29.3442454079445	8.51121407174435e-05	0.00699624388149558
WWC1	0.490256655295648	6.19027454898207	29.3226234313481	8.54223035718187e-05	0.00699624388149558
VEGFA	0.434789646968085	7.92195855352816	29.1976750541295	8.72401413930095e-05	0.00710156029022364
RAB15	-0.73180125907658	3.72243377537752	28.7626911129532	9.39221147647683e-05	0.00755385347839073
SESN3	-0.754153972934662	6.5810382275923	28.7623196303616	9.39280657238098e-05	0.00755385347839073
AQP3	-0.502972439657345	7.28085716402025	28.5514236919891	9.73770926066539e-05	0.00778433644490317
KRT17	0.463976486842274	11.5669124255357	28.3751248204852	0.00010037157645965	0.00797595562938287
GULP1	-0.868055596134553	3.59332164831853	27.9556943553355	0.000107928008437501	0.00852567403929369
IRF2BPL	-0.758364098070302	3.69568984295206	27.8723820471618	0.000109505151620376	0.00859937514195305
STON1	-1.51933329531118	1.22738890344815	27.710949206869	0.000112636653686973	0.00877023909621131
BST2	1.29637723788126	2.13824101027821	27.6928114156977	0.000112994840790138	0.00877023909621131
OTUB2	0.616874823540783	5.29666537388833	27.368144287559	0.000119631681945492	0.00923169337556251
MN1	-0.623980549260439	4.37369344533986	27.3264115135319	0.000120516642667497	0.00924653551500624
CTSH	-0.543588202984567	6.63620223353542	26.947434689819	0.000128904498418886	0.00981362239452233
NANOS1	-1.52389388638503	1.40172403900212	26.91450464398	0.000129664287831216	0.00981362239452233
IL6R	-0.599358661360758	5.63902737716398	26.8951519069333	0.000130113195792543	0.00981362239452233
LTB	1.60274025154196	1.09775298361039	26.8271398701073	0.000131704948015999	0.00987787110119992
SAMHD1	0.788626982379885	3.92064975790376	26.6599929867123	0.000135712224667535	0.0101215541860983
DTX2	0.783479962201804	6.5954429961333	26.5915925094645	0.00013739211352548	0.0101899150864731
LCN2	0.707363366215533	8.90003760957527	26.5532240841985	0.000138344817740529	0.010203885728376
CXCL16	0.504787534396563	6.24249746361145	26.5072285724819	0.000139496864713424	0.0102323249666165
DEK	-0.435404410111398	6.5110880731747	26.4591665968866	0.000140712391678213	0.0102650843109516
CXCL6	1.72754290730303	1.33639296548631	26.1403502841981	0.000149088707777249	0.0108170339610124
ADD3	-0.468816986660921	6.8207139351442	25.848169326755	0.000157268507833363	0.0113081024886016
TCN1	-0.702056254727745	3.93158073583313	25.8383876417915	0.000157551090852427	0.0113081024886016
HDGF	0.398988484564866	9.43036632032327	25.7947195773624	0.000158819711198988	0.0113381986337246
ZNF488	-1.14884467295162	1.83731874733166	25.6568287943291	0.000162902886418138	0.0115678379451177
PADI3	-0.648014521093583	5.02867719094533	25.3760839600044	0.000171592406771742	0.0120617438847693
FDPS	0.47548877174668	8.5044830711071	25.3651549468235	0.000171941233731064	0.0120617438847693
FGF1	-0.814637921840009	3.59647460823376	25.3270236888497	0.000173164647243098	0.0120617438847693
S100A12	1.23263924574617	2.11858470939904	25.3075189758102	0.000173794283588413	0.0120617438847693
TCF4	-0.57579958048845	4.82167917988245	25.2895773023354	0.000174375773015766	0.0120617438847693
BCL3	0.719181587498125	4.76887137817909	25.1738779929706	0.000178179402845008	0.0122613145772209
NEURL1B	0.474607088959246	5.71746716365522	25.0877869956372	0.000181071193320119	0.012396412465762
SERPINB13	-0.733416853991939	6.43922652311231	24.6075341335423	0.000198220970552423	0.0134923710795222
F3	0.404088709579442	9.89307082502401	24.5600876674288	0.00020001375548574	0.0134923710795222
PTPRZ1	-0.714922050759785	3.40671812629082	24.5575129446039	0.00020011157106707	0.0134923710795222
EFCAB7	-0.748800520308708	3.60443190186229	24.5246243832624	0.000201365850550217	0.0135087140947005
SAMD4A	0.482193288613632	5.75769532937456	24.4631742212312	0.000203733534677455	0.0135992134397201
ANGPTL4	0.52119815271199	8.3490855170735	24.3416504300726	0.000208510118635845	0.0138488063870076
NCCRP1	0.548351861619027	5.47795395283365	24.2496459127366	0.000212211593810717	0.0139986662755026
SPRR1A	0.735914061366261	4.10267883635801	24.233629138683	0.000212863614526369	0.0139986662755026
POU2F2	0.713827642834435	3.62992258770903	23.9459843503442	0.00022497188078882	0.0147224245516213
TNFRSF10A	0.483552531939241	5.27597228507207	23.8829111939021	0.000227730974912143	0.0148302854394005
BLNK	-0.632828972269335	3.77324309714921	23.7836470699664	0.000232151886909836	0.0150447946128462
TP53INP1	-0.562908014150528	5.95658523173762	23.733364980246	0.000234428655625697	0.0151189495294833
RPL9	-0.439187085211232	9.8806554174152	23.7025539094596	0.000235836380333782	0.0151366138339231
LRMP	-0.87443759828456	2.85473179991678	23.4725896213852	0.000246653646003399	0.0157551491585903
SPTLC3	-0.630516059770192	3.91949504022632	23.2842296553284	0.000255937469059045	0.0162703105330393
ALDH3A1	-0.639306726128584	5.98188062927311	23.1957878284449	0.000260433866492823	0.0164776877615127
CRCT1	0.983210257173711	3.11757918689058	22.9897332403179	0.000271264232490643	0.0170819693573117
PDCD4	-0.409155106658189	8.40999154301357	22.8404815774952	0.0002794307048206	0.0175136145979108
ALDH1A3	0.397289314210045	10.0886563922947	22.6872333928607	0.000288109512068613	0.017920230299622
IDI1	0.403271710686021	7.42949267220219	22.6786791942848	0.000288602959881553	0.017920230299622
STAT5A	1.11053605500268	2.25698071278361	22.6225520817572	0.000291864704311031	0.0180388601970012
DTX3L	0.42067348016458	5.96884438388291	22.5497436273174	0.00029615881424381	0.0182199086182252
BID	0.539669833117357	4.7184201059989	22.4642278992763	0.000301294862500627	0.0184508551118504
CCDC14	-0.461738424130917	5.44026436252909	22.4239274993178	0.000303750525921706	0.0185162991828985
GBP5	1.85413367367759	1.2059628514123	22.1007209720411	0.000324293699668693	0.0196787313208048
IL7R	0.87389703085981	3.08371015667575	22.0263079057543	0.000329245516714694	0.0198888128875166
SOX6	-0.902945650632186	2.63540028746106	21.9557764867388	0.000334018941342299	0.0199633270433982
SMTN	0.624921050502773	6.64567058257913	21.942821284795	0.000334904295283835	0.0199633270433982
HSD11B1	0.505476431146274	6.47023697022085	21.9419316953756	0.000334965187844284	0.0199633270433982
EPSTI1	1.03855252875193	2.89923157157984	21.8406220728155	0.000341983355598821	0.0202910124321967
SGPP2	0.801115517349673	2.8518404226872	21.6450186079098	0.000356014559919771	0.0209562005759621
FAM167A	1.10264898572951	1.91863790839708	21.6406699129312	0.000356333897433962	0.0209562005759621
TRAF3	0.496803499835877	5.44010057212616	21.5466895273552	0.000363315786995718	0.0212072144409781
FAM83A	0.372530070760152	9.1305746497553	21.5405251077465	0.000363779184043745	0.0212072144409781
CDH10	-0.982785734976253	2.09116004201443	21.429480125048	0.000372243543802254	0.0216063100424352
PTAFR	0.394399994213845	7.10679262465886	21.3944115298902	0.000374963239065883	0.0216699534265348
TUBB4B	0.417494133042902	8.73140670834646	21.2726258681972	0.000384586097912643	0.022130277616956
TUBA4A	0.422850548944122	9.1527445628045	21.1180755785981	0.000397206928349897	0.0227584227187602
HMGN2P46	2.95086677858748	-0.155558824824285	21.0030650480741	0.000406906436951941	0.0232145339030274
FKBP5	-0.444039961326205	7.44306938521606	20.9707655458452	0.000409678939644489	0.0232732504010805
LDLR	0.387336567053321	8.96609147842031	20.9391395607706	0.000412414570533367	0.0233293835450019
ETS1	0.490574554005454	6.67439408875581	20.8628729873727	0.000419097908561962	0.0236074138367181
PLA2G4E	4.45703360979246	-0.781633233924913	20.8002014041257	0.000424682664850537	0.0237302190289309
SH3RF2	0.426882766986885	5.71840015952551	20.7985259009085	0.000424833134675242	0.0237302190289309
CDCP1	0.365471938486339	8.28582101845361	20.6109223315749	0.0004420730449962	0.0245903131279136
RAB30	-0.718838607319186	3.28094054656262	20.4110046599876	0.00046133089355963	0.0255141706708372
TUBA1B	0.449469143831954	8.93640117492019	20.3991354240088	0.000462504067591206	0.0255141706708372
FXYD5	0.40723502152132	9.26816366581607	20.3630170391203	0.000466095100357972	0.0256064592171972
USB1	0.405022434818322	6.64326763563419	20.2562505856091	0.000476898041769978	0.0260925772853656
NRCAM	0.965461324296822	2.14437060171628	20.2102996050669	0.000481635400213061	0.0261466623770278
TLR2	1.02006940028656	3.18648632848149	20.2086769872569	0.000481803666273321	0.0261466623770278
HAS3	0.371199676773965	7.29447746131724	20.1251340936904	0.00049055859768458	0.0265139970813326
FAT2	-0.377585404462078	8.93380080171172	20.062144658899	0.000497279960622315	0.0267689011060803
LY6D	-0.690559587629654	4.26443053696633	19.9975978771648	0.000504276955363859	0.0270365355586647
FLNB	0.370942138682378	10.5676764400276	19.9734977783963	0.000506918260292967	0.0270694350996445
RFTN1	0.471728537865745	5.12298054455186	19.8559425566647	0.000520030894919	0.0276590137337397
NR2F2	-0.42661092692416	7.43560618068498	19.8030554382893	0.000526056340630456	0.0277596725143865
HYI	0.507225929196516	4.81192761567474	19.8028301041495	0.000526082183231445	0.0277596725143865
ANXA3	0.436331850971193	8.48285246219878	19.6767860163972	0.000540767827107805	0.0284222460310598
DBP	-0.725948605394221	2.86561032974641	19.6080072227072	0.000548978767992256	0.0285926923024105
FOXO1	-0.537706461467311	4.69570361700073	19.6008537281283	0.000549840919955234	0.0285926923024105
SPARC	-0.424711856523721	6.34466441132715	19.5959228546396	0.000550436099005206	0.0285926923024105
P2RY6	1.14326669020003	1.83017141560495	19.525023786874	0.000559075907345068	0.0288918375981028
RBM20	-1.55340874399857	0.804410053312586	19.5132689819962	0.000560523291229111	0.0288918375981028
KCNMA1	-0.472132926335589	5.05619498142042	19.4127037353731	0.000573082687338922	0.0294255918306716
CES1P1	2.88962185920215	-0.180672351000666	19.3811998210626	0.000577083118186603	0.0295174698382803
MCOLN3	-0.603855236029526	3.99399227590295	19.3622685581926	0.00057950240462518	0.0295280805410159
DST	-0.402692376865527	10.4643684048699	19.3245725907753	0.000584354312487554	0.0296620915274101
RELB	0.872371665921562	3.21246194165796	19.2569369582649	0.000593176718347927	0.0299958681437304
WNT7A	0.529671941130831	5.29070831994775	19.1553789888012	0.000606711570543954	0.0305645262896671
TAP1	0.411871146349379	5.60610141168139	19.1177961374973	0.000611809589729768	0.0307054812890692
HELZ2	1.00583564788139	3.88647776820302	19.0749486879234	0.000617681600445858	0.0308840800222929
CYP4F3	-1.0880099920038	2.30133362093306	18.8807038319826	0.000645123199931093	0.0321358011905973
SLC26A2	-0.487386025374174	4.75204363969983	18.8537509497655	0.000649039986056542	0.0322107204976016
PTGS2	0.531619134774262	4.91770180714811	18.7200763485099	0.000668871995197543	0.0329516231780425
PRKACB	-0.627341444412152	3.50982587045659	18.7198536436071	0.000668905609082361	0.0329516231780425
ZSWIM4	0.535956788751397	5.07973734560682	18.6208875295495	0.00068403605576163	0.0335730931780065
SLC43A3	0.480701752093245	4.75577740651713	18.5962357390564	0.000687865598396495	0.0336373836578506
HSD17B3	-0.986135097354572	2.03715408891149	18.4790247867372	0.000706412566514282	0.034418276507174
EPHA2	0.481342416915381	7.63429349716595	18.3817217912811	0.000722244715699721	0.0350616980166956
CREG2	-0.89724773040361	2.65417582167537	18.3090206010237	0.000734339022886114	0.0355196592591653
FAT4	-0.520899232665924	4.33257540889783	18.2350428503745	0.000746884084635409	0.035996038014017
CKAP2	-0.411559276252906	6.55174460525702	18.1199926773524	0.000766884427205175	0.0368270039683061
NR1D2	-0.542378343759946	4.54992928853785	18.0275951188911	0.000783391117487341	0.0374848437937491
IFIT3	0.72132529980842	4.72751237009829	17.9910482055642	0.000790032065911067	0.0376676002854027
MMP13	1.06470160400707	2.3807435478687	17.9714794437739	0.000793614370475534	0.0377037432236597
NRP1	-0.38208252693282	6.3802151456168	17.9389097069249	0.000799617945165	0.0378542537870665
NT5DC3	-0.484583066061825	5.01172510906063	17.9220276432204	0.000802750247699736	0.0378682537342455
