,cc01-20covid1,cc01-20covid2,cc01-20mock2,cc01-20mock1,cc03-19covid,cc03-19mock,cc03-20covid1,cc03-20covid2,cc03-20mock1,cc03-20mock2
RPS6P20,1,0,2,0,0,1,0,0,0,0
KRT8P38,0,0,0,0,0,0,0,0,0,1
ACTG1P24,0,4,9,3,0,0,1,0,10,2
RPL10AP6,8,7,5,11,4,12,8,3,9,7
TERF1P5,1,3,1,2,6,2,3,3,0,0
FAM41AY2,0,0,0,0,0,0,0,0,0,0
HAGLROS,3,1,3,8,3,0,0,0,0,0
LINC02089,0,0,0,0,0,0,0,0,0,0
AC097463.1,0,0,0,0,0,0,0,0,0,0
ST7-AS2,13,17,49,16,0,13,3,1,1,0
USP9YP11,0,0,0,0,0,0,0,0,0,0
LINC00375,0,0,0,0,0,0,0,0,0,0
DCAF8L1,0,0,7,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0,0,0
AL022310.1,0,0,0,0,0,0,0,0,0,0
AL135923.1,0,0,0,0,0,0,0,0,0,0
AC084809.1,25,24,9,22,32,34,14,20,8,31
AC016831.1,60,93,94,79,127,122,36,22,14,18
LINC01876,35,15,79,39,42,5,14,10,22,47
PARD3-AS1,1,0,5,0,10,2,1,1,3,3
SORCS3-AS1,0,0,0,0,0,0,0,0,0,0
ELL2P4,0,0,0,0,0,0,0,0,0,0
MAPK6P6,0,0,0,1,0,0,0,0,0,0
KCNQ2-AS1,0,0,0,0,0,0,0,0,0,0
MTATP6P21,0,0,0,0,0,0,0,0,0,0
IFNA20P,2,6,0,0,0,1,0,0,2,0
AC093423.1,1,0,0,0,0,0,0,0,2,0
MRPS21P5,0,0,0,0,0,0,0,0,0,0
AL031727.1,1,1,5,5,1,2,0,1,2,4
C12orf77,0,0,0,0,0,0,0,0,3,0
AC013480.1,0,0,0,0,0,0,0,0,0,0
AC010385.1,0,0,0,0,0,0,1,0,0,0
AC006015.1,0,0,0,0,0,0,0,0,0,0
AL392089.1,81,86,34,44,40,45,23,39,8,13
AL133325.1,0,1,0,0,1,0,4,2,0,2
RBMX2P1,0,0,2,0,0,0,0,0,0,0
RPL23P11,0,0,0,0,0,0,0,0,0,0
AL450332.1,0,0,0,0,0,0,0,0,0,0
AC104058.1,0,0,0,0,0,0,0,0,0,0
AC079355.1,0,0,0,0,0,0,0,0,0,0
LINC02628,0,0,0,0,0,0,0,0,0,0
OR8T1P,1,0,23,8,2,0,0,0,0,0
MTCYBP38,0,0,0,0,0,0,0,0,0,0
TPI1P1,85,111,105,123,101,88,38,46,69,57
MRPL23-AS1,0,0,20,33,5,0,0,2,2,1
SLC16A1-AS1,42,14,250,236,39,65,34,57,103,120
IGLV3-4,0,0,0,0,0,0,0,0,0,0
SLC25A5P5,0,1,0,0,4,0,54,27,14,33
AC093642.1,0,0,0,0,0,0,0,0,0,0
AL358613.1,0,0,0,0,0,0,0,0,0,0
AC012558.1,0,0,0,0,0,0,0,0,0,0
HMGN2P7,1,3,1,0,1,0,2,1,0,2
RPL15P13,0,0,0,0,0,0,1,0,0,0
AL590399.2,0,0,1,4,0,0,0,2,0,0
USP17L7,0,0,3,0,0,0,0,0,0,0
AL121929.2,0,0,0,0,0,0,0,0,0,0
AC010342.1,4,10,6,6,9,8,4,4,6,5
AP000290.1,0,0,0,0,0,0,0,0,0,0
ANKRD18DP,0,0,0,0,0,0,0,0,0,0
H3P43,0,0,0,0,0,0,2,1,5,1
AL442071.1,0,0,0,1,0,1,0,0,0,0
AC108161.1,0,0,0,0,0,0,0,0,0,0
LAMA4-AS1,4,0,1,2,3,3,2,0,0,6
PLCL2-AS1,0,0,0,0,0,0,0,0,0,0
AC006037.1,0,0,0,0,0,0,0,0,0,0
GAPDHP32,0,0,0,0,0,0,0,0,0,1
ACTR3BP6,1,0,0,0,0,0,0,0,0,0
BX322234.1,16,5,70,22,10,6,5,13,49,38
NOTCH2P1,0,0,0,0,0,0,0,0,0,0
ZNF25-DT,0,0,0,0,0,0,0,0,0,0
RPL7AP51,0,0,0,0,0,0,0,0,0,0
CDY5P,0,0,0,0,0,0,0,0,0,0
CYP2D8P,0,4,4,8,32,1,0,1,10,10
LINC02542,11,19,5,6,7,2,13,10,3,5
AL033380.1,0,0,0,0,0,0,0,0,0,0
AL121787.1,1,0,2,0,0,0,0,1,0,0
RPL22P3,1,13,23,31,26,4,3,1,19,6
OR10G5P,0,0,0,0,0,0,0,0,0,0
AL390198.1,19,14,39,12,5,15,10,16,40,33
RPA2P2,0,1,0,0,0,0,0,0,0,0
AC018641.1,0,0,0,0,0,0,0,0,15,11
ADAM1B,0,0,16,14,0,0,0,4,13,5
RPS29P33,0,0,0,0,0,0,0,0,0,0
Z93930.2,24,27,70,80,65,20,12,14,57,51
AC008013.2,0,1,2,1,4,0,0,0,4,10
PPIAP62,0,0,0,0,0,0,0,0,0,0
AP000532.1,0,0,0,0,0,0,0,0,0,0
LINC01748,11,13,0,0,3,5,3,1,0,1
AC245028.1,0,0,0,0,0,0,0,0,0,0
UPF3AP1,2,0,0,2,0,0,0,0,6,0
TMEM185B,1644,1575,947,1252,1018,1780,1556,1607,1479,1316
OR7H1P,0,0,0,0,0,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0,0,0,0,0
AL392088.1,0,0,0,0,0,0,0,0,0,0
AL606516.1,0,0,0,0,0,0,0,0,0,0
RBM22P3,0,0,0,0,0,0,0,0,0,0
LINC01035,0,0,0,0,0,0,0,0,0,0
AL139254.1,0,1,0,0,0,0,0,0,0,0
LINC01824,0,0,0,0,0,0,0,0,0,0
AC104308.1,0,0,0,0,0,0,0,0,0,0
AC138647.1,0,0,0,0,0,0,0,0,0,0
FTOP1,0,0,1,4,9,0,0,1,8,11
RPL26P27,0,0,2,2,5,0,0,0,0,0
LINC00323,10,8,5,8,4,3,5,5,19,11
LINC02549,0,0,0,0,0,0,0,0,0,0
RPSAP21,0,3,11,15,6,0,0,0,1,1
AL136380.1,0,0,0,3,0,0,0,1,0,2
AC243772.1,0,0,0,0,0,0,0,0,0,0
USF1P1,0,0,0,4,1,0,0,2,1,0
KRT8P27,0,0,0,0,0,0,0,0,0,0
TMEM167AP1,0,0,0,0,0,0,0,0,0,0
AC007463.1,0,0,0,0,0,0,0,0,0,0
IPMKP1,0,0,0,0,0,0,0,0,0,0
LINC01918,0,1,0,0,0,0,0,0,0,0
AC005588.1,0,0,0,0,0,0,0,0,0,0
UPK1A-AS1,0,0,2,1,0,0,0,0,0,0
AC004386.2,0,0,0,0,0,0,0,0,0,0
FAM138B,0,0,6,11,0,0,0,0,0,3
LINC00390,0,0,1,2,0,6,1,8,7,11
KIRREL1-IT1,1,0,5,3,0,2,0,0,3,0
AC087499.2,0,0,0,0,0,0,5,7,3,4
HDAC9-AS1,0,0,0,0,0,0,0,0,0,0
AC074375.1,0,0,0,0,0,0,0,0,0,0
RPS7P10,7,5,5,1,3,6,5,0,5,4
AL049569.1,4,4,1,2,5,0,10,8,6,0
AP000289.1,0,0,0,0,0,0,0,0,0,0
MTND1P1,0,0,0,0,0,0,0,0,0,0
AL158055.1,5,5,1,15,0,0,0,0,0,0
AL022718.1,0,0,0,0,0,0,0,0,0,0
BTBD9-AS1,0,0,2,0,1,0,0,1,1,0
AP000552.1,0,0,0,0,0,0,0,0,0,0
AL445487.1,3,1,0,0,1,4,20,4,0,4
SETP15,0,0,0,0,0,0,0,0,0,0
OR7E33P,0,0,0,0,0,0,0,0,0,0
AC012512.1,8,5,0,1,4,6,1,3,2,1
GAPDHP73,0,2,1,2,2,1,0,0,0,0
AL359633.1,0,0,0,0,0,0,0,0,0,0
AC114814.1,0,0,0,0,0,0,0,0,0,0
MYL6P1,1,0,0,0,1,2,0,0,0,0
RPL7P22,7,4,1,0,0,2,3,6,1,0
AL357552.2,0,0,3,1,1,0,0,0,0,1
SSU72P1,0,0,0,0,0,0,0,0,0,0
AC016722.1,0,0,0,0,0,0,0,0,0,0
SCDP1,10,3,6,17,2,5,12,3,1,2
BX284613.1,0,0,0,0,0,0,0,0,0,0
AC018735.1,0,0,0,0,0,2,2,1,0,0
MTCL1P1,0,0,0,0,0,0,0,0,0,0
AGKP1,0,0,0,0,0,0,0,0,2,2
NPM1P49,0,0,1,0,0,0,0,0,0,1
TRAF6P1,0,0,0,1,0,0,0,0,0,0
AL590383.1,0,0,0,0,0,0,0,0,0,0
CYP4F26P,14,6,12,11,11,31,7,11,28,14
FTH1P20,50,54,35,49,52,25,15,12,35,19
AL445493.1,0,0,0,0,0,0,0,0,0,0
AL390962.1,0,0,0,0,0,0,0,0,0,0
LINC00606,0,0,0,0,0,0,0,0,0,0
AL450304.1,0,0,0,0,0,0,0,0,0,0
AL592429.2,1,0,18,16,0,5,0,0,8,5
SNORD57,0,0,0,0,0,0,0,0,0,0
AC003071.2,0,0,0,0,0,0,0,0,0,0
AC060234.1,0,0,0,0,0,0,0,0,0,0
MICC,0,0,0,0,0,0,0,0,0,0
AL132657.1,17,3,11,19,16,7,0,4,4,3
MTCYBP31,0,0,0,0,0,0,0,0,0,0
RPL39P40,1,4,1,5,0,0,0,0,0,1
LINC02848,0,0,0,0,1,0,0,1,1,5
UBE2V1P5,0,1,0,0,0,0,0,0,0,0
AC006455.1,0,0,0,0,0,0,0,0,0,0
UBE2V1P10,0,0,0,0,0,0,0,0,0,0
AC004911.1,0,0,0,0,0,0,0,0,0,0
AL356421.2,0,0,0,0,0,0,0,2,6,4
AC245291.1,0,0,0,0,0,0,0,0,0,0
IFNWP9,0,0,0,0,0,0,0,0,0,0
AL450344.2,2,6,6,3,21,0,2,3,6,4
CT47A9,0,0,0,0,0,0,0,0,0,0
AL359979.1,0,1,0,0,0,0,0,0,0,0
PAPPA-AS2,0,3,2,4,2,0,2,0,0,0
AC092567.1,0,2,0,0,0,0,2,0,0,0
FTLP3,367,399,178,282,234,323,46,27,65,76
AL390067.1,13,15,32,9,12,1,0,0,10,10
OFD1P2Y,0,0,0,0,1,0,0,0,0,0
OR52M2P,0,0,0,0,0,0,0,0,0,0
RPL21P110,0,0,0,0,0,0,0,0,0,0
AL137001.1,0,0,0,0,0,0,0,0,0,0
LINC00343,0,0,3,0,0,0,0,0,3,0
AC083855.1,0,0,0,0,0,0,0,0,0,0
AC092155.1,0,0,0,3,0,0,0,1,0,0
AC005099.1,0,0,1,1,0,0,0,0,4,1
RBM17P1,3,0,0,4,2,1,0,0,0,0
NOP56P2,0,0,0,0,0,0,0,0,0,0
SHANK2-AS1,0,0,7,0,0,0,0,1,0,0
LINC00974,0,0,0,0,3,3,1,0,4,2
SLC9A3P3,0,0,0,0,0,0,0,0,0,0
UBE2V1P1,1,1,5,4,0,0,1,0,0,5
PPIAP28,0,0,1,0,0,1,1,0,1,0
AC006020.1,0,0,2,1,2,0,3,0,0,0
AL357793.1,0,0,0,0,0,0,0,0,0,0
AL391647.1,1,2,2,3,0,6,0,0,0,1
ACTG1P12,0,0,0,0,0,0,0,0,0,0
AL513314.1,0,0,0,1,0,0,0,0,0,0
AL121899.1,6,2,7,4,0,2,6,7,24,23
AP006216.1,0,0,0,0,0,0,0,0,0,0
RPL7P37,0,0,0,0,0,0,0,0,0,0
AL365356.1,0,2,6,2,1,6,1,1,2,3
PLCG1-AS1,24,34,51,63,27,9,6,9,8,37
AC019118.1,0,0,0,0,0,0,0,0,0,1
KIF4B,1,3,0,0,1,0,2,5,3,2
PSMD10P2,10,10,5,4,26,32,31,51,8,18
OR13Z1P,0,0,0,0,0,0,0,0,0,0
AC096732.1,0,0,0,0,0,0,0,0,0,0
RPL23AP30,0,2,2,3,2,0,0,1,0,2
AC021028.1,3,8,3,3,2,3,7,1,5,5
TRBV2,0,0,0,0,0,0,0,0,0,0
AC004973.1,0,0,0,0,2,0,0,0,0,0
CHMP1AP1,0,0,0,0,0,0,0,0,0,0
MTND4P10,0,0,0,0,0,0,0,0,0,0
AL020998.1,0,0,0,0,0,0,0,0,0,0
SSR1P2,0,0,0,0,0,0,0,0,0,0
HSPA9P1,9,4,1,4,5,3,5,2,2,3
AL136981.1,0,0,0,0,0,0,0,0,0,0
AL354977.1,0,0,2,2,0,0,0,0,2,0
BCAS2P3,0,0,0,0,0,0,0,0,0,0
AC005008.1,0,0,0,0,0,0,0,0,0,0
LINC01108,4,3,6,0,0,0,0,0,0,0
TEX41,2,2,0,4,2,0,0,0,0,1
LINC02679,1,4,13,31,3,2,0,0,0,0
IGBP1P1,0,1,3,17,1,0,0,0,0,2
AL606748.1,4,0,0,0,0,0,0,0,0,0
AC073311.1,0,0,0,0,0,0,0,0,0,0
AC020595.1,0,0,0,0,0,0,0,0,0,0
PWWP2AP1,0,0,1,0,0,0,0,0,0,0
CT47A12,0,0,0,0,0,0,0,0,0,0
LINC01535,8,11,16,24,34,36,6,8,15,35
ENTPD1-AS1,442,405,349,310,315,425,331,318,352,362
AC013470.2,19,2,8,18,0,0,5,8,35,40
NXNP1,0,0,0,0,0,0,0,0,0,0
AL441943.1,0,0,0,0,0,0,0,0,0,0
ANKRD20A10P,0,0,0,0,0,0,0,0,0,0
LENG8-AS1,14,21,73,87,46,15,7,7,21,34
AL034380.1,0,0,0,0,0,0,0,0,0,0
AL360181.1,0,0,0,0,0,0,0,0,0,0
MTND4P25,0,0,0,0,0,0,0,0,0,0
RPL15P14,1,1,4,2,4,2,1,2,1,2
MIR217HG,0,0,0,0,0,0,1,0,0,0
NPM1P4,0,0,0,0,0,0,2,1,0,0
SDCBPP1,0,0,0,0,0,0,0,0,0,0
AL161452.1,1,0,7,8,9,0,0,6,3,3
AL359458.1,0,0,0,0,0,0,0,0,0,0
AC073409.1,0,0,0,0,0,0,0,0,0,0
FGF12-AS3,0,0,0,0,0,0,0,0,0,0
FAM66C,7,3,29,39,13,15,7,14,52,29
LINC01709,4,0,0,6,18,17,96,101,123,146
AL589986.1,0,0,0,0,0,0,0,0,0,0
PTPRD-AS2,0,0,0,0,0,0,0,0,0,0
SNRPGP8,0,0,0,0,0,0,0,0,0,0
EEF1DP2,8,6,16,0,2,10,3,1,2,2
LINC00424,0,0,0,0,0,0,0,0,0,0
AL513175.1,8,3,3,5,3,0,7,5,8,3
AC109780.2,0,0,0,0,0,0,0,0,0,0
PABPC1L2B-AS1,0,0,0,0,0,0,0,0,0,0
TMEM256P2,4,8,18,10,22,6,2,1,16,16
RPL35AP30,0,0,0,0,0,0,0,0,0,0
AL138826.1,2,0,0,0,0,0,0,0,0,0
SNRPGP12,0,0,0,0,0,0,0,0,0,0
AL358972.1,0,0,0,0,0,0,0,0,0,0
LINC02554,0,0,0,0,0,0,0,0,0,0
HSBP1L1,2346,2434,2227,2648,2453,1678,889,913,1431,1274
AC005326.1,0,0,0,1,0,0,0,0,1,1
AL512599.1,1,0,0,0,0,0,0,0,0,0
SMCR5,4,4,22,6,3,0,0,0,2,5
FSIP2-AS2,0,0,2,0,1,1,0,0,0,2
AL360271.2,0,0,0,0,0,0,0,0,0,0
CUTALP,157,120,288,294,246,137,109,88,215,251
AL451105.1,0,0,0,0,0,0,0,0,0,0
AL606760.1,20,63,34,59,19,8,24,29,30,52
VPS25P1,0,0,0,2,0,0,0,0,0,0
AC007365.1,11,10,5,7,16,0,2,3,8,10
AC079341.1,0,0,0,1,0,0,0,0,0,0
DISC1-IT1,0,0,0,0,0,0,0,0,3,0
DAB1-AS1,0,0,0,0,0,0,0,0,0,0
TAS2R46,0,1,1,0,0,0,0,1,2,0
LINC02668,0,0,0,0,0,0,0,0,0,0
SRRM5,16,7,43,57,60,1,19,4,21,5
AC010145.1,0,0,0,0,0,0,0,0,0,0
RPSAP33,0,0,3,5,0,0,0,0,0,0
FABP7P1,0,0,0,0,0,0,0,0,0,0
AC114501.1,0,0,0,2,0,0,0,0,1,0
GAPDHP54,0,0,0,3,0,0,0,0,0,0
AC000124.1,0,0,2,0,0,0,0,0,0,0
AP001136.1,1,0,1,0,1,0,0,0,0,0
AL021393.1,1,1,5,7,3,0,0,1,2,5
AL663109.1,0,0,0,0,0,0,0,0,0,0
AC073910.1,0,0,0,0,0,0,0,0,0,0
KRTAP3-4P,0,0,0,0,0,0,0,0,0,0
FAM30A,0,0,0,0,0,0,0,0,0,0
NAALADL2-AS2,0,4,3,3,4,0,3,1,11,9
AC244035.1,0,0,0,0,0,0,0,0,0,0
TBCAP1,0,5,2,1,3,4,0,3,0,2
AC117465.1,0,0,0,0,0,0,0,1,0,0
TLK1P1,0,0,0,0,1,0,0,0,0,0
PGAM4,7,3,0,0,7,3,1,6,0,0
AC110926.1,0,0,1,2,0,0,1,0,0,0
HNRNPA3P1,2,0,0,1,0,0,0,0,0,0
LINC02611,0,2,0,0,0,0,0,0,0,0
C13orf42,0,0,0,0,0,1,0,0,0,0
MTND1P20,0,0,0,0,0,0,0,0,0,0
AC005828.1,2,3,14,15,7,0,3,0,0,2
AL138749.1,4,0,0,0,1,0,0,0,0,0
CACTIN-AS1,0,5,3,15,5,0,11,2,7,0
OSTCP8,0,0,0,2,0,0,0,0,3,0
AL442647.1,0,0,0,0,0,0,0,0,0,0
ZNF451-AS1,3,6,18,37,11,5,5,7,2,3
AL359839.2,0,0,0,0,0,0,0,0,0,0
LCT-AS1,0,0,0,0,0,0,0,0,0,0
MROH5,0,0,0,0,0,0,0,0,0,0
LINC00840,1,0,0,0,0,0,0,0,0,0
AC112198.1,0,0,0,0,0,0,0,0,0,0
AL117382.2,0,0,3,0,0,0,1,0,1,2
LINC01941,0,0,0,0,0,0,0,0,0,0
AL035407.1,0,0,0,0,0,0,0,0,0,0
AC005082.1,4,0,8,7,19,0,3,2,8,26
SLC6A6P1,0,0,0,0,0,0,0,0,0,0
MEIS1-AS3,0,0,0,3,1,0,0,0,8,4
AL592049.1,0,0,0,0,0,0,0,0,0,0
LINC02785,0,0,0,0,0,0,0,0,0,0
SUGT1P1,7,2,4,8,2,2,6,11,5,1
AC006001.2,13,12,47,34,22,13,44,17,28,37
LINC01509,0,0,0,0,0,0,0,0,0,0
NPM1P11,0,0,0,0,0,0,0,0,0,0
LINC02774,0,0,0,5,0,0,0,0,0,0
AC093655.1,0,0,0,0,0,0,0,0,0,0
MED15P3,0,0,0,0,0,0,0,0,0,0
AC092164.1,11,9,75,89,83,21,11,27,40,76
ARHGAP29-AS1,4,1,4,0,2,5,1,0,0,0
AC018437.1,0,0,0,0,0,0,0,0,0,0
HMGB1P32,0,0,0,0,0,0,0,0,0,0
AC096582.1,0,0,0,0,0,0,0,0,0,0
MTND6P11,0,0,0,0,0,0,0,0,0,0
PAICSP3,0,1,0,4,0,0,0,0,0,0
AL158834.1,0,0,2,0,1,0,0,0,0,3
AL606753.1,0,0,0,0,0,0,0,0,0,0
EEF1GP3,0,0,0,1,0,0,0,1,0,1
LINC00348,0,0,0,0,0,0,0,0,1,0
PRPS1P1,0,0,0,0,0,0,0,0,0,0
AL109811.1,14,5,9,38,25,5,0,18,85,85
AC004112.1,0,0,0,0,1,0,0,0,0,0
AC010894.2,6,4,21,16,2,3,2,5,4,12
AL451105.2,0,0,0,0,0,0,0,0,0,0
RPSAP17,0,2,1,0,1,2,0,0,0,0
THORLNC,7,4,2,1,1,1,3,6,3,3
DUTP3,0,0,0,0,0,0,0,0,0,0
LINC02051,1,0,1,0,0,3,0,0,0,0
AC109638.1,0,0,0,0,0,0,0,0,0,0
AL390835.1,0,0,0,0,0,0,0,0,0,0
AC104463.2,0,1,2,2,0,0,0,2,1,1
SHROOM2P1,0,0,0,0,0,0,0,0,0,0
ATE1-AS1,5,5,23,19,7,2,2,1,17,4
AC244505.4,0,0,0,0,0,0,0,0,0,0
AC096637.2,0,0,0,0,0,0,0,0,0,0
LHFPL3-AS1,0,0,0,0,0,0,0,0,0,0
BX276092.2,8,9,1,1,3,0,24,6,0,0
AC135178.2,0,0,0,0,0,0,0,0,0,0
AC002472.1,0,0,1,0,0,0,0,1,1,0
CDY14P,0,0,0,0,0,0,0,0,0,0
AC005154.1,0,0,1,0,0,0,0,0,0,0
ZNF877P,0,0,0,0,0,0,0,0,0,0
AC092801.1,1,0,3,2,1,0,0,0,0,0
AL354733.1,0,2,0,1,0,2,0,0,0,1
GSTM3P2,1,0,0,0,0,0,0,0,0,0
H3P44,0,0,0,0,1,0,1,0,0,0
AL035416.1,3,0,0,0,4,0,0,0,0,3
RPS29P10,0,0,0,0,0,0,0,0,0,0
E2F6P3,0,0,0,0,0,0,0,0,0,0
AC093787.1,0,0,0,0,0,0,0,0,0,0
ERVMER34-1,188,127,63,110,128,340,246,247,52,46
RPLP1P10,0,0,0,0,0,0,0,0,0,0
AL359541.2,0,0,0,3,0,0,0,0,2,2
Z97652.1,0,0,3,0,2,0,0,0,0,0
LINC01359,0,0,7,14,13,1,0,0,0,0
AL731577.1,0,0,10,1,5,0,0,0,1,1
AL451069.1,3,0,6,19,1,1,0,0,2,4
CHCHD2P1,0,0,0,0,0,0,0,0,0,0
LINC00354,0,0,0,0,0,0,0,0,0,0
AL353608.2,3,0,0,4,8,5,3,0,11,16
AC005040.1,0,0,0,0,0,0,0,0,0,0
TTTY4,0,0,0,0,1,0,0,0,0,0
H2BP6,0,0,0,0,0,0,0,0,0,0
ISCA2P1,0,0,0,0,1,0,0,0,0,3
BSN-DT,0,0,7,0,1,0,0,0,0,7
AC068137.1,0,0,0,0,0,0,0,0,0,0
LINC01276,0,0,0,0,1,0,0,0,0,0
AC010086.1,0,0,0,0,0,0,0,0,0,0
AL365184.1,0,0,0,0,0,0,0,0,0,0
AL160004.1,0,0,0,0,0,0,0,0,0,0
LINC00454,0,0,2,0,1,0,0,1,0,0
IL1R1-AS1,0,0,0,3,0,0,1,0,0,0
PDZPH1P,0,0,0,0,0,0,0,0,0,0
AL451081.1,0,0,0,0,0,0,0,0,0,0
RPS14P4,1,7,7,2,0,0,0,0,2,0
CT47A11,0,0,0,0,0,0,0,0,0,0
GTF2IP2,0,0,0,0,0,0,0,0,0,0
NRBF2P2,0,0,0,0,0,0,0,0,0,0
LINC00161,0,4,6,4,10,10,0,0,0,1
CEP164P1,0,5,12,6,12,2,0,3,0,0
AC119428.1,0,0,0,0,0,0,0,0,0,0
AC062021.1,0,0,0,0,0,0,0,0,0,0
RBMY1J,0,0,0,0,28,158,5,2,0,0
IL9RP3,9,12,5,8,6,3,0,1,13,16
ALG1L5P,2,11,5,1,2,3,8,0,8,8
AL031847.1,1,4,4,4,9,3,2,1,2,7
AC098935.1,1,0,0,0,0,0,0,0,0,0
AC062022.1,0,0,0,0,0,0,0,0,0,0
LCEP4,0,0,0,0,0,0,0,0,0,0
RPS4XP2,3,0,0,0,1,0,0,0,0,0
OR6K5P,0,0,0,0,0,0,0,0,0,0
DANCR,646,772,444,373,611,746,596,545,491,519
AC093019.1,0,0,0,0,0,0,0,0,0,0
NCKAP5-AS2,0,0,0,3,8,11,3,1,6,1
AL023802.1,1,0,4,0,0,1,2,5,18,8
AC104306.2,0,0,0,0,0,0,0,0,0,0
AP000432.1,0,0,0,0,2,0,0,0,0,0
AL358075.1,0,1,1,2,4,0,2,0,0,1
MTCO1P21,3,0,0,0,0,0,0,0,1,0
PPIAP60,0,0,0,0,0,0,0,0,0,0
RAC1P6,0,0,0,0,0,0,0,0,0,2
AC078883.2,7,8,30,7,27,15,18,18,10,17
RHEBP2,43,0,4,43,22,37,48,11,36,48
AC073114.1,1,5,1,0,2,3,6,4,5,2
HAUS4P1,0,0,0,0,0,0,0,0,0,0
LINC00423,0,0,0,0,0,0,0,0,0,0
AL391845.1,0,2,1,0,0,0,1,0,0,4
AL450063.1,4,1,0,4,2,0,0,2,0,1
AL606490.2,1,3,3,3,2,1,2,7,4,3
RPL12P19,0,0,0,2,0,0,0,0,0,0
AL512638.1,0,0,0,0,0,0,0,0,0,0
COX6A1P2,28,36,21,18,22,25,30,23,30,23
HMGN1P24,1,0,2,0,0,0,0,0,0,0
MAGI2-AS2,0,0,0,0,0,0,0,0,0,0
LTA,4,4,0,0,0,0,0,0,0,0
ABHD17AP6,1,1,0,2,3,1,1,4,0,2
CENPCP1,0,1,2,3,2,0,0,3,0,3
LINC01692,0,0,0,0,0,0,0,0,0,0
AL035410.1,0,0,3,0,0,0,0,0,0,0
LINC01203,0,0,2,0,0,2,0,0,0,0
AC092017.1,1,1,0,0,1,3,265,196,175,188
AL157938.1,2,0,0,0,0,0,0,0,0,0
AL049758.1,2,1,2,7,10,6,1,0,4,5
AC025946.1,0,0,0,0,0,0,0,0,0,0
AC140479.1,2,0,0,1,0,0,0,0,0,0
AC145625.1,0,0,0,0,0,0,0,0,0,0
AC012593.1,0,0,0,0,0,0,0,0,0,0
LINC00658,0,0,0,0,0,0,0,0,0,0
AP000477.1,0,0,0,0,0,0,0,0,0,0
MTATP6P30,0,0,0,0,0,0,0,0,0,0
AC073325.2,0,0,0,0,0,0,0,0,0,0
HSPD1P14,0,0,0,0,0,0,0,0,0,0
NBPF2P,37,23,47,39,28,18,31,47,47,40
SNRPEP10,1,1,8,7,0,0,0,0,0,0
AC108032.1,0,0,0,0,0,0,0,0,0,0
AL136988.2,2,1,0,0,0,3,0,0,3,0
LINC01247,2,0,0,0,1,1,0,2,1,0
AL009174.1,2,6,1,2,3,6,5,3,3,6
FUNDC2P4,0,0,0,0,0,0,0,0,0,0
C17orf112,0,0,0,0,0,0,0,0,0,0
LINC02527,0,0,0,0,0,0,0,0,0,0
OR7E96P,0,0,0,0,0,0,0,0,0,0
AC007285.1,23,62,29,53,98,38,44,12,30,42
AC023141.4,0,0,0,0,0,0,0,0,0,0
LINC02796,0,0,0,0,0,0,0,0,0,0
AC007036.1,0,0,0,1,2,0,0,0,4,1
IL6STP1,0,1,0,0,0,0,0,1,1,0
OR7E101P,0,0,0,0,0,0,1,0,0,0
AC007557.1,0,0,0,0,0,0,0,0,0,0
OR51A3P,0,0,0,0,0,0,0,0,0,0
SLC8A1-AS1,4,4,4,2,0,3,2,0,5,11
AL139237.1,0,0,0,0,0,0,0,0,0,0
RPS2P36,0,0,0,0,1,0,0,0,0,0
AC019130.1,0,0,0,0,0,0,0,0,0,0
AL445433.1,0,3,0,0,1,0,4,1,0,0
MTATP6P18,0,0,0,0,0,0,0,0,0,0
LINC00511,1094,1213,1239,1568,3717,1171,1559,1676,1784,1521
GTF2IP7,24,23,42,42,83,37,10,15,43,21
ITGB2-AS1,19,20,68,97,289,21,179,216,107,112
AC022483.1,3,2,0,0,1,2,1,1,4,0
AC003666.1,0,0,0,0,0,0,0,0,0,0
LINC01682,0,0,0,0,0,0,0,0,0,0
AL589765.1,0,0,0,0,0,0,0,0,0,0
AC012065.1,0,0,0,0,0,0,0,0,0,0
AC096677.3,0,0,0,0,0,0,0,0,0,0
AL512288.1,1,0,0,0,0,0,0,1,0,0
C14orf132,211,186,714,841,343,1025,44,34,309,329
MUC12-AS1,9,9,4,8,4,0,4,2,31,20
FDX1P2,0,0,0,0,0,0,0,0,0,0
AC009961.2,0,0,0,0,0,0,0,0,0,0
RPL6P2,0,0,0,1,0,0,0,0,0,0
WDR46,3044,3148,1599,1753,2797,2501,2419,2503,2094,1983
BX510359.2,0,0,0,0,0,0,0,0,0,0
ANHX,0,0,0,0,0,0,0,0,0,0
LINC00629,0,0,32,18,3,10,0,0,2,25
AC079779.1,0,0,0,0,0,0,0,0,0,0
AL596276.1,0,0,0,0,0,0,0,0,0,0
RPL41P1,158,213,161,155,127,175,135,126,189,185
Z82205.1,2,4,1,1,11,1,2,0,0,1
Z98257.1,173,209,50,37,28,18,20,17,0,1
DPPA3P1,0,0,0,0,0,0,0,0,1,0
AL162584.1,0,0,3,7,0,0,0,0,0,0
CNN2P2,0,0,0,0,0,0,0,0,0,0
EPS15-AS1,0,0,5,4,0,0,0,1,10,3
