X	Control_49604	Control_49605	Control_49606	Control_49607	Control_49608
RPS25	4439.9	2329.3	1836.7	1725.6	1892.6
RPL37	11576.4	8063.3	5054.2	7189.3	4348.1
HINT1	740.2	321.9	267.8	489.1	330.5
EEF2	1115.6	847.1	950.7	1325.8	841.5
RPS10	7679.9	3815.5	2652.1	3338.2	2299.1
ATP6V0E1	424	572.4	584.8	409.5	552.6
HNRNPK	925.5	423.1	433.4	473	435.1
ANAPC5	355.3	333.9	348.2	158	297.3
SNORD73A	7796.1	9216.3	6023.9	9470.5	6682.6
HNRNPU	154	317.1	308.7	344.7	359.7
HNRNPU	459	776.4	709.1	553.9	707.3
EIF3A	913.4	242.7	320.1	231.5	203.8
EIF3A	21.6	32.9	64.5	17.7	27.4
EIF3A	275	149.8	113.5	153.9	132.4
MIR3652	55.1	126.5	324.7	206.4	269.6
MIR3652	2543.2	1871.5	2311.8	1399.7	1548.7
MSN	281.3	397.7	481.8	217.3	248.2
ACTN4	56.5	133.4	180.5	26.3	123.8
APP	653.5	290.7	284.8	153.4	170
PRKAR1A	2097.7	773.6	935.4	710	937.8
PRKAR1A	45.4	103.8	91.6	75.8	293.4
PRKAR1A	137	156.5	294.3	165.9	185.9
DSP	279.1	99.9	85.3	118.3	88.5
RAD21	67.5	85.3	91	66	140.6
RAD21	304.8	176.5	202.8	101	158.2
WDR1	454.8	504.5	534.2	384.3	292.9
NCL	574.8	766.5	664.5	494.5	547
WDR1	81.7	183.1	232.3	84.4	79.3
AP2B1	81	133.1	53.3	158.9	134.9
AP2M1	61.5	209.1	273.9	79.6	130.9
CLTC	753.4	1902.3	2547.5	1410.6	1332.7
AP2B1	43.3	109	73.9	120.2	109.1
MLEC	33.3	40.4	90.5	14	19.4
MLEC	151.4	201.4	220.4	340.6	273.4
LASP1	322.6	297.5	275.1	318.2	204.6
SF3B2	29.5	18.8	17.3	16.7	12.6
TMEM59	890	1387.5	1438.6	1159.5	1157.6
CSRP1	501.2	457.7	365.7	391.2	533.1
CALM3	74.4	63	155.5	46.9	75
CALM3	167.8	17.5	16	19.1	47.8
SNHG4	307.8	421.2	445.2	236.9	305
CAP1	666.3	672.7	743.8	311.3	366.5
SNHG4	700.9	475.1	314.5	214.5	203.2
PTGES3	917.6	926.1	850.3	619.2	820.4
WARS	15.4	41.5	282	26.5	37.2
WARS	292.6	305.2	542.8	274.3	208.6
SETSIP	308.5	763.6	540	647.1	534.2
SETSIP	937.6	694.9	559.2	606.3	363
NDRG1	612.8	481.5	470.6	836.4	690.6
UBB	4783.1	3333.4	4628.6	2679.2	2923
PFN1	239.6	397.1	359.2	326.5	313.7
PTPRF	62.6	18.7	64	15.1	173.8
PTPRF	307.3	150.9	70.1	119.5	324.4
PTPRF	23.5	8.4	10	3.4	77
YWHAZ	408.2	478.5	793.7	248.1	750.4
YWHAZ	621.6	286.6	462.9	297.6	322
YWHAZ	453.7	688.7	610.7	432.1	606.1
YWHAZ	83.8	289.1	428.2	182	699.3
SOD1	1239	776	536.6	491.1	1078.4
HDLBP	73.5	158.9	191.9	169.8	100.1
MARCKSL1	156.8	117.8	155.1	182.7	97.3
GABARAP	147.9	439.2	447.3	349.6	346.4
NUCB1	18.5	41.5	60.3	54.9	37.4
EIF3CL	331.1	327	238.2	214.8	269.3
GLUL	40.9	221.1	361.7	171.2	330
NUCB1	73.3	96.7	82.3	27.9	59.6
LDHA	975.4	1623.9	1845.2	1708.6	1545.7
SNORD96A	1471.3	1909.5	1651.7	1465.6	1402.5
SSR2	267.2	664.3	565.9	414.2	400.8
CALM3	110.4	346.4	664.1	417.8	846.4
P4HB	48.2	407.7	524.7	162	245.3
CALM3	1435.3	901.4	1047	856.4	1271.3
P4HB	10.7	161.9	180	131.7	147.8
SLC25A5	583	388.5	362	470.7	311.1
PHB	19.2	76.6	106.2	59.3	109.8
PHB	8.6	35.7	11.8	30.4	67.9
S100A11	121.2	144.1	253	202.5	160.6
CTSA	18.3	218.3	115.9	12.8	120.3
TOMM20	861.2	413	431	349.5	501.3
CD63	819.7	1916.4	2180	1549.5	1504
DNAJB1	31.5	76.7	128.4	28.8	146.2
SPARC	968.8	4701.1	4030.3	932.5	2057.4
DNAJB1	203.5	161.7	304.4	237.7	155.7
UBE2D3	597	483.5	508.5	496.7	443.5
UBE2D3	384.8	418.6	598	371.9	329.9
UBE2D3	70.5	126.5	320.7	300.9	284.4
XBP1	146.5	466.8	475	459.2	284.8
SPTBN1	2.9	11.4	13.2	4.5	100.8
SPTBN1	64.4	194.1	209.7	173.2	905.1
LAPTM4A	2515.3	1843.1	2155	1524.6	2046.7
RPL32	6779.2	4815.8	3167.7	4194	2379.3
CD81	225.5	471.5	367.8	345.6	540.8
UBE2L3	34.8	46.7	17.1	26.3	24.7
PTTG1IP	1187.4	954.6	1074.9	430.5	463.7
GRN	86.5	283.6	370	318.9	188.9
HMGB1	70	199.3	328.4	160.4	253.4
HMGB1	897.2	981.3	879.9	592.6	1244.6
GLO1	516	451.9	335.2	308.9	341.9
UBE2L3	121	223.6	224.4	237.7	239
UBE2L3	10.5	108.2	61.5	81.8	156.9
UBE2L3	46.8	101	110.8	70.6	26.7
SRSF11	299.6	136.8	77.1	92.3	102.2
SRSF11	1069.7	228.5	186.7	201.9	198.5
SF3B3	53.9	72.7	30	41	26.4
SF3B3	89.2	99.1	143.1	195.7	259.3
MIR3654	1126.5	2237.9	1879.1	1850.7	1283.9
HSPA9	95.9	52.8	124.6	56.7	14.1
HSPA9	460.9	274.6	275.5	177.9	225.3
HSPA9	170.6	124.7	272.6	219	265.6
YWHAQ	726.7	615.7	796.9	431.6	548.7
DDX24	452.9	437.8	360.3	340.9	228.7
PPP2R1A	63.4	211.3	95.4	206.1	267.7
GSN	2488.7	1902.6	1148.6	2106	2778.7
HK1	105.6	94.2	131	82.8	28.5
KDELR2	241.7	233.4	345.2	247.2	219.8
KDELR2	404.9	428.1	350.2	260.6	287.1
KDELR2	245.1	409.3	474.6	299.3	340
NPC2	1019.3	967.5	1056.5	579.7	557.8
DDX24	9.1	7.9	5.8	8.7	5.2
DYNLL1	1167.2	578.5	668.2	350.7	624.1
LITAF	663	530.8	778.2	1203.8	754.3
SNORA41	3167.7	1914.7	1491.5	2225.3	1196.9
LITAF	11.1	85.3	239.3	142.5	211.8
PRKCSH	2.9	11.1	10	21	13.2
GOT2	176.5	143.9	76.7	164.1	85.9
LOC101929368	568.7	878.5	684.4	621.8	513.3
ACADVL	167.3	199.2	218.2	307.1	233.4
SKP1	746.1	280.3	344.4	323.9	392.3
MAPRE1	76	150.2	156	137.3	151.6
MAPRE1	500.9	390	475	355.6	391.4
OS9	433.6	384.1	360.3	377.8	327
SNORD32A	2381.8	2293.3	1492.3	1182.1	918
RPL13AP5	4314.8	4777.4	4031.4	4644.5	2788.9
RPL7	9391.3	15358.3	13266.5	14912.9	9649.8
SKP1	2982.5	1607.2	1478	1453.6	1994.4
SKP1	116.9	159.8	102.8	100.8	139.3
ACTR1A	95.7	127.3	113.6	96.6	203.3
ACTR1A	101.7	40.5	37.8	49.2	20
CAPRIN1	47.6	150.2	80.4	56.4	58.6
CAPRIN1	218.6	189.1	219.2	137.5	204.7
SNORA70	53.3	24.3	115.3	64.6	29.2
SNORA70	977.2	2940.8	2423.4	2700	1557.3
PPP1CC	1456	928.5	619.4	380.5	576.4
ACTR2	68.8	109.7	42.6	88.2	76.3
ACTR2	183.4	426.9	793.3	394.1	548.5
ACTR2	126.2	205.6	345.7	73	192
PTP4A1	67.4	72	184.9	79.2	82.3
PTP4A1	95.3	115.8	146.3	183.2	132.6
PTP4A1	264.3	165.6	447.9	410.5	214.3
PTP4A1	131.8	209.2	106.5	109.9	88.2
ARF3	195.4	112.7	26.3	41.5	36.8
NACA	5172.6	3416	2579.8	2677.3	2159.4
GPX1	138.4	390.6	749.8	175.6	391.7
PGK1	88.5	104.1	206.3	137.5	150.8
PGK1	864.7	648.7	866.1	548.9	673.1
SUMO3	55.5	70.2	137.4	36.2	142.8
SUMO3	450.6	390.1	291	234.8	260.4
RPS27	9167.4	6706.5	4148.9	4489.5	2633.7
TPP1	112.8	152.2	143.6	153	185.4
TPP1	363.6	387.4	410	304.6	327.9
GNB1	91.7	91.8	178.9	70.7	153.8
GNB1	55.5	225.5	174.8	124.2	208.5
GNB1	277	431	350.6	275.2	275.7
NUMA1	12.6	66.9	56.8	46.3	34.9
FTH1	2884	3292.5	6528.7	2877	4611.2
RAN	528.3	146.4	145.9	143.4	183
RAN	373.1	425	368.6	338.2	200.9
HNRNPC	17.1	221.2	334.5	138.1	273.1
CAPN1	22.6	53.9	66.4	67.7	181.9
MIR636	183.7	232.1	245.2	200	203.8
MIR636	1123.8	885.3	819.2	1207.5	825.8
CALU	6.7	12.9	79.2	12.5	8.5
CALU	7.6	24.4	72	17.8	8.3
CALU	285.2	488.2	511.6	281.5	262.1
NFE2L1	132.4	240.8	152.1	32.2	356.1
NFE2L1	572.1	549.3	461.4	615.5	535.6
ARL6IP5	147.8	345.2	403	214.8	506.5
ARL6IP5	1894.1	1775.1	1779.4	782.5	1279.7
DPYSL2	1111.8	820.8	784.8	504.5	592.9
RPLP1	4311.3	4765.6	3802.9	2846.6	3104.5
CTNNA1	122.6	216.2	237.8	209.4	307
CTNNA1	505.6	430.3	437	273.2	470.3
CTSD	18.9	74.4	93.6	34.2	82
FAM120A	85.9	227.7	91.5	74.3	146.5
MAT2A	740.4	413.1	1359.9	1392.6	552.8
MAT2A	19	20.3	96.9	40.5	36
LAMC1	158.6	257.5	180.9	91.5	204.2
LAMC1	553.4	468.5	589.1	500.1	910.1
LOC100506248	215.8	936	1451.4	1111.5	1355
PTMA	1370.6	1120.2	992.5	1264.7	883.8
FAM120A	152.8	467	577.5	326.5	364.7
HNRNPK	373.5	457.7	418.9	242.7	414.6
BZW1	194.2	270.2	249.1	263.9	283.3
BZW1	745.8	519.8	604.6	311.2	375.2
sep-02	123.9	201	322.2	193.2	475.6
ATF4	1866.3	1326.2	1413.1	1278.2	1368.8
GNAS	1673.6	1038.7	1032.2	1034.9	1254.7
RPS15A	6218.8	6612.5	4802.9	7039.3	4350.6
ANXA5	501.4	732.3	899.7	417.8	876.8
STMN1	128.4	131.4	118.6	145.8	68.2
LRP1	17.4	92.9	25.9	19.9	135.8
LRP1	79.7	149.2	229.6	154.5	134.6
PSMB7	311.4	272.7	267.3	200.2	306.5
PEA15	121.4	187.9	110.1	203.5	224.3
PEA15	782.6	682.7	712.5	558.7	697
ECH1	47	267.8	178.9	146.8	238.6
ODC1	406.6	347.3	344.2	373.3	221.1
IQGAP1	359.8	293.8	331.6	204.6	313.1
XRCC6	402.2	506.4	632.4	453.4	427.8
ACO2	15.8	22.3	142.5	27.4	219.1
DAZAP2	1266.3	1142	1274.8	981.1	668.2
SPARCL1	5465.9	2154.3	2255.6	2647.7	2276.8
MCL1	7.2	7.7	16.1	13.8	47.3
MCL1	1217	774.6	2097.5	1116.3	716.3
MCL1	536.6	257.6	1318.5	974.3	301.5
HSPA1B	1246.6	187.7	1305.8	202.7	304.7
HSPA1L	168.3	172.7	739.3	178.3	133.5
ACTB	3551.6	9547.9	10839.2	6877	5142.3
SARS	217.8	300	255.9	203.9	197.5
TMBIM6	400.7	490.3	562.7	400	650.1
TMBIM6	369.9	865.6	853.2	712	912.4
LMAN2	13.8	72	87.6	22.4	7.1
HSPD1	40.6	376.1	729.8	538.1	529.8
HSPD1	1326.7	768.5	1166.8	942.5	836.1
ZYX	101.1	134.3	170	103.7	125.9
RPL12	4083.1	4882.2	3552.7	4841.4	3085.2
CIRBP	802	249.2	165.1	269.4	123.1
CIRBP	613.6	384.9	226	250	208.4
CCT7	84.2	140.8	59.8	70.2	17.7
PAFAH1B1	18.4	96.4	77.8	33.8	183
PSME1	412.2	310	387.3	219.2	166
PAFAH1B1	93.5	134.9	149.9	134.7	169.9
PAFAH1B1	301.5	238.7	228.6	159.4	220.2
RPS10	3258.4	2398.6	2235.6	1834.7	1277.4
ATP5O	1220.1	586.4	549.1	432.5	466.9
RPS15	2610	2687.9	2334.3	2204.8	1562.1
PSMD8	130.6	138.3	148.5	146	34.6
LAMP2	211.3	120.5	171.9	115.3	48.9
TPI1	362.3	511	301.9	504.4	400.8
RPL29	473.9	1567.4	1156.3	882.8	785.1
GSTP1	102.5	189	181.5	173.3	133.8
HYOU1	154.3	192.1	106.2	45.2	94.3
SNRPD2	475	391.5	382.3	359.3	160.9
PLOD1	69.6	111.9	105.6	114.2	82.6
ZNF207	150.6	270.3	318.7	307.9	248
ZNF207	448.4	452.7	361.1	403	239.6
PSMD2	341.1	193.5	223.1	72.1	203.7
SCD	19.1	437.4	24.1	206.2	330.4
SCD	274.4	1566	108.5	440.1	1351.6
RAP1B	835.5	630.4	720.7	315.9	443.6
RPS21	5064.4	3689.5	2451.3	3213.3	1531.8
MAP4	6.6	12	4.8	14.8	10.7
MAP4	18.7	48.6	30	57.4	107.1
BCAP31	52.8	289.2	131.2	163.2	305.3
CTSB	263.6	498.2	1043	278	308.7
CTSB	894.5	952.2	1810.3	881.1	274.8
KARS	1497.3	1154.8	1041.6	674.4	1089.9
EPRS	15.1	58.1	22.8	56.5	52.8
EPRS	39	85.8	52	113.2	73.1
EPRS	261.2	167.2	151.5	54.7	133.3
PRDX6	492.4	415.6	392	564.7	810.6
PRDX6	1502.2	719	556.5	571.6	1228.1
PPP1CA	10.6	38.1	134.2	61.3	77
SARAF	1469.5	834.3	923.4	880.9	542.1
AHCYL1	15.8	71.7	94.2	79.1	182.8
AHCYL1	131.6	281.5	232.2	316	499.1
AHCYL1	101.4	624.9	532.5	576.6	940.1
IST1	270	190	165.9	124.4	145.5
GNB2	66.8	151.9	169.2	161.9	156
H2AFZ	298.8	281.4	267.8	194.4	138.6
NCOR1	114.2	107.1	167	124	91.4
NCOR1	72.1	68.8	141.4	86.7	78.4
NCOR1	143.4	178.6	120.8	66.8	108.3
NCOR1	128.4	220.7	165.4	151.4	227.2
SNORD38B	1688.7	771.6	597.9	826.9	411.9
FLNA	158.6	229.3	240.7	126.5	263.9
CNOT1	348.2	416.1	283.4	289.7	306.6
CNOT1	128.7	141.9	65.3	225.4	209.6
DHCR24	124.7	198	188.8	236.1	199.2
RAB11A	894.5	540.1	611.5	386.7	507
RAB11A	207.9	55.8	81.9	88.7	88.8
EIF3F	1.7	19.1	5	21.3	10
PSAP	82.4	349.6	803.4	336.4	647
RNF114	130	127.8	178.7	85.3	157.9
RNF114	131.7	188.4	156	138.5	187.2
SNORA68	281.1	4750	4637.7	3698.7	3069.6
STRAP	629.9	328.8	418.7	331.4	397.6
PSAP	986.7	1388.5	2284.2	942	1057.5
S100A10	1952.5	889.9	1028.5	777.9	1002.8
CCT8	619.1	537.7	396.6	366	409.2
MIR1292	161.1	231.8	158.4	268.8	213.9
MIR1292	390.1	290.1	218.4	252.1	183.2
PSMB1	289.1	412.7	484.8	448.1	554.2
CCT4	397.4	359.1	507.9	290.3	447.2
EPAS1	772.4	793	982.8	750.2	1242.9
EPAS1	6.5	63.1	18.5	115.9	105.4
DNAJA1	1080.8	383.4	530.7	321.7	340
DNAJA1	695.8	387.4	763.7	648.7	377.3
PSMD4	332.4	216.3	223.9	142.7	202.9
UQCRC2	93.8	159.9	132.4	234.9	212.4
CKB	32.5	81.5	38.4	39.3	64.5
RHOC	33.3	90	163.1	124.3	137.1
PGAM1	348.8	418	387.7	338.9	374.1
STAT1	536.9	385.6	743.1	371.7	252.1
SNORA21	4057.6	3535.1	3243.8	3248	2905.7
SSR1	174.5	144.9	159.1	57	115.4
SSR1	49.3	42.8	66.2	13.1	42.3
SSR1	1425.3	402.6	455.1	306.2	219.9
TRA2B	283	127.8	257	171.3	160.3
TRA2B	2030.5	576.6	795.8	734.4	530.3
FKBP4	49	43.9	79.8	27.5	84.9
FKBP4	99.5	82.1	108.5	42.1	121.1
HDGF	132.9	109.5	74.7	86.7	83.6
PALLD	475.5	541	759.2	403.9	342.2
MGEA5	18	31.6	15.4	19.1	309.1
MGEA5	456.9	313.2	231.7	178.8	405.5
M6PR	5.9	19.8	72	9.6	58.5
M6PR	164.2	325.3	236.9	193.5	252.3
sep-15	589.6	498.5	570.6	491.6	328.4
AHCY	47.8	123.9	110.4	108	69
HLA-E	328.8	770.5	813.6	503.9	477.7
HLA-E	720.1	926	1283.5	633.6	832.3
PALLD	49	55.2	55.9	33.5	62.9
PALLD	81.3	299.2	379.3	184.7	173.1
RPLP2	159.2	331.3	191.6	242.9	438
SNORA52	4691.3	4883.2	2766.7	3146.1	3769.1
LOC101927137	193.8	212.4	177	166.1	220.8
TACC1	1037.4	736.7	628.4	733.4	954.2
MIR1248	3048.7	1980.2	1905.9	1555.8	2910.4
PPM1G	8	80.2	11	9	65.8
KTN1	23.8	21.4	51.8	30.1	44
KTN1	917.1	318.4	244	214.4	390.1
TAGLN2	71.3	128.2	150.2	103.7	131
SRPRA	10.7	17.8	16.5	50.9	20.9
SRPRA	211.2	212.1	185	153.1	157.5
PHC2	283.8	368.4	340.9	388.9	281.6
BTG1	15.7	151.8	322.3	163.7	319.8
BTG1	864.8	951.6	1126.4	846.8	782.7
KDELR1	36.2	87.6	99.5	34.3	93.5
LGALS3BP	184.1	265.9	407.1	246.6	318.6
SLC3A2	40.3	51.5	71.2	9.9	59
COX6A1	590	354.2	382.8	375.5	506.3
RPS23	8563.2	6908	5184.4	6323.6	4437.6
RAB14	201.9	198.6	292.6	142.6	394.8
RAB14	48.8	70.2	26.2	44.5	8.7
TMED10	157.7	232	399.6	154.7	187.2
VCL	16.4	17	7.4	96	11.6
VCL	302.7	548.1	437.5	455.2	343.9
DCTN2	112.6	166.7	90.8	93.5	218.8
RPS4X	7701.9	7114.8	6525.9	5763.3	4432.4
DEK	715.3	243.9	316.2	164.2	180.5
CALR	4.5	6.6	34.8	33.5	3.8
RPL8	592.2	1379.9	1172.3	1174.5	935.3
RPL5	2777.4	2844.7	2564	2419.1	1874.1
RERE	1.5	4.9	4.4	3.9	6.5
RERE	4.2	3.6	2	3.4	6.1
RERE	93.9	199.6	195	99.7	194.6
HSBP1	418.8	356.1	396.2	261.4	316.6
HSBP1	174.5	283.1	359	377.6	346.3
HMGN1	426	276.1	635	207.7	371.8
LOC101927733	1226.4	1171.7	913.8	885.5	622.8
SEC31A	673.5	595	753	242.3	520.6
GLUD1	100	155.5	125.2	171.1	222.2
GLUD1	198	183.4	37.6	16.5	55.8
MLF2	71.2	84.3	82.9	128.3	60.6
SNORD54	5614.2	3372.2	2242.4	2714.7	1798.1
ARPC1A	167.4	180.9	171	249.8	196.2
CCND2	3.2	6.8	10.6	12.3	4.9
CCND2	17.3	53.1	39.7	55.8	15
CCND2	574.6	487.7	506.8	730	907.6
ATP6V0C	30.5	132	113.2	103.5	69
IMMT	413.5	330.5	360.6	259.2	384.9
SSRP1	4	17.4	108.3	37.7	18.1
SSRP1	94.4	77.6	70.4	107.7	60.4
SDCBP	1581.2	862.5	1303.6	933.1	1033.6
FUS	165.6	236.3	508.6	369.4	337
CLTA	415.4	426.7	430.7	193.9	210.9
SEPHS2	204.9	142.5	149.5	113.9	128.7
RPL31	215.6	226.7	104.4	277.5	151
RPL31	13083.9	9231	7146.4	7787	5941.1
UBA1	182.3	174.3	242.5	240.1	244.9
ABLIM1	425.5	287.3	234.7	414.1	603.1
ALDOA	63.7	340.8	177.1	102.7	309.7
PPIB	122.5	442.2	851.7	185.8	168.6
PPIB	72.7	438.7	648	274.7	211.9
SERP1	661.8	156.8	176.2	196.4	150.6
SERP1	415.3	147.7	181.1	135.5	181.7
SERP1	434.9	274.9	249.4	239.6	241.6
TSPAN3	1306.2	506.1	396.5	438.7	1012.9
TSPAN3	150.9	268.1	115.7	82.8	626.8
ACTA2	302.7	748.1	1128.7	512.6	799.3
PPT1	478.4	525.8	582.5	352.7	401.6
TAX1BP1	169.7	400.8	309.7	186.9	361.7
TAX1BP1	407.4	297.7	378.8	257.8	300.7
MDH1	789.7	504	380.6	340.5	943.8
PDHA1	104	85	50.2	110.3	61.9
PDHA1	163.4	153.9	118.8	89.4	172.8
GNAS	1592.6	933.3	921.2	929.2	1105
ANXA6	55.3	128.9	160.2	133.9	216.4
CD59	173.5	379.2	796.5	598.9	492.9
CD59	263.4	383.6	654.6	534.8	432.7
CD59	794.2	693.1	1381.7	542.4	1033.8
SERPING1	331.8	790	800.1	818.9	599.4
PSME3	52.4	138.6	107.4	87.4	83.7
PSME3	24	4.7	4.4	34.7	26
HIF1A	1055.9	742.6	1262.2	1089	351.1
TRIM28	54.2	48	65	11.1	86.8
SNX17	8.9	14	21.8	9.9	19.2
IPO7	244.9	207.6	205.6	230.2	205.1
IPO7	169.3	158.7	150.6	108.5	146.7
IPO7	186.2	68.6	107.3	83.7	60.5
IPO7	214.2	59.9	93.9	148.2	113.4
ACTR3	260.4	265.7	462.2	154.7	157.2
RBM14-RBM4	81.7	111	79.3	24.5	77.1
CKAP4	88.9	208.1	187.4	272.2	148.4
CKAP4	282.8	334.7	374.5	258.1	208.4
AARS	291.5	261.1	267.9	295.1	372.8
TMEM189-UBE2V1	66.4	149.4	149	136.7	192.1
TMEM189-UBE2V1	213	275.4	180.3	274.6	232.9
TMEM189-UBE2V1	133.1	190.9	186.5	223.4	213
SSR4	205.1	841.8	692	721.9	304.7
CD9	413.6	202.6	252.1	128.6	121
PRDX2	49.7	22.4	64.8	35.7	79.6
HADHB	985.8	559.2	587	409.4	687.1
TXNIP	17.2	82.4	153.2	87.4	889.5
TXNIP	166.4	745	548.3	508.7	1992.7
TXNIP	2195.6	2437	1467.1	1295.3	5016.6
RPN1	241.5	207.6	181.1	136.1	152.4
ANXA1	3381	2514.7	3264.7	1899.9	4534
PAICS	165.8	67.2	153.9	88.3	79.1
PAICS	27.5	6.6	53.5	8.7	66.3
JUP	10.1	59.2	17.8	90.7	64.7
