X	covid	covid2	control	control2						
NDUFAB1	3724	3945	1849	1866						
PDK4	2868	2793	1093	1399						
SLC22A16	0	0	0	0						
ZMYND10	625	834	1317	1911						
ABCB5	0	0	0	0						
ARX	0	1	0	3						
SLC25A13	1759	1721	808	826						
ST7	3103	2986	1835	2259						
CDC27	2060	2102	1057	1162						
SLC4A1	0	0	1	0						
CALCR	0	0	5	55						
HCCS	2162	2206	1179	913						
DVL2	1780	1816	1997	2535						
PRSS22	1475	1505	1505	1446						
UPF1	4366	5201	3861	4803						
SKAP2	1434	1449	777	1111						
SLC25A5	14878	15560	7393	7140						
MCUB	1385	1589	530	579						
HOXA11	0	1	8	0						
POLR2J	1429	1541	880	994						
DHX33	206	214	235	176						
MEOX1	5	0	2	10						
THSD7A	185	268	167	157						
LIG3	1378	1451	847	1051						
RPAP3	1794	1915	991	1050						
ACSM3	582	595	428	698						
REXO5	197	338	118	150						
CIAPIN1	4045	3839	1807	1652						
SPPL2B	1294	1731	1798	1659						
FAM214B	1267	1255	876	802						
COPZ2	179	189	438	403						
PRKAR2B	104	132	580	695						
MSL3	1380	1447	863	1079						
CREBBP	807	867	900	1133						
TSPOAP1	78	43	300	345						
MPO	0	0	10	0						
PON1	9	6	17	50						
GCFC2	680	970	686	765						
WDR54	539	601	954	1304						
CROT	1398	1441	2165	1708						
ABCB4	0	0	6	3						
KMT2E	2018	2197	3636	4208						
RHBDD2	4617	4853	4037	4879						
SOX8	5	12	9	9						
IBTK	4616	4751	2809	2892						
ZNF195	1239	1214	1006	1053						
MYCBP2	484	612	1134	848						
FBXL3	2496	2341	2258	2425						
ITGAL	0	5	4	0						
PDK2	1394	1280	1442	1496						
ITGA3	16068	15203	6856	9966						
ZFX	1990	2077	1660	1868						
LAMP2	12209	11901	11147	13184						
ITGA2B	5	4	10	27						
ASB4	3	2	67	73						
GDE1	9708	10074	6778	7889						
REX1BD	1311	1455	1257	1197						
CRLF1	67	70	21	39						
OSBPL7	2505	2709	827	892						
TMEM98	4888	4741	1922	2359						
YBX2	0	6	14	4						
KRT33A	0	1	1	0						
MAP3K14	237	250	287	442						
ABCC8	0	12	6	13						
CACNG3	0	0	0	0						
TMEM132A	3235	3086	2663	3042						
AP2B1	12397	12116	4811	6665						
TAC1	5	3	0	0						
ZNF263	1443	1539	1469	1653						
CX3CL1	936	817	875	1290						
SPATA20	3775	3751	2538	3186						
CACNA1G	0	0	0	1						
TNFRSF12A	13024	12664	1443	1535						
DLX6	0	0	0	0						
MAP3K9	1404	1418	1475	1182						
RALA	3437	3569	2617	2238						
BAIAP2L1	4843	4922	2912	3602						
KDM7A	414	344	793	720						
ETV1	2960	2889	2571	3002						
AGK	1493	1860	1151	1223						
ALDH3B1	3834	4084	2783	3373						
TTC22	1230	1316	2094	1329						
PHTF2	975	1097	792	1138						
CCL26	6	5	7	10						
FARP2	1815	1966	1694	1692						
USH1C	0	3	11	10						
GGCT	1806	1839	711	614						
DBF4	579	641	342	383						
TBXA2R	29	18	31	22						
IFRD1	2856	2704	2778	2588						
LGALS14	0	0	0	0						
COX10	1207	1331	908	1072						
GTF2IRD1	1872	1970	1178	1008						
PAF1	3146	3205	1495	1607						
VPS41	4285	4005	3221	3626						
ARHGAP44	2246	2246	1592	2329						
ELAC2	6700	6630	2793	2979						
SCIN	2875	3012	2678	4002						
ARSD	2669	2963	3016	3641						
PNPLA4	1182	1260	1048	1160						
MYH13	0	0	0	0						
ADIPOR2	1341	1189	1241	1138						
CDKL3	35	31	65	45						
UPP2	0	0	0	0						
PRSS21	18	21	52	50						
MARK4	115	89	136	134						
PROM1	329	294	343	415						
CCDC124	2314	2569	1190	1175						
CEACAM21	0	0	0	6						
PAFAH1B1	3236	3264	1869	2106						
NOS2	17	1	18	46						
DNAH9	49	166	208	433						
KIAA0100	8356	8727	4375	4435						
SLC13A2	3	15	17	34						
AC005747.1	28	33	108	31						
TRAPPC6A	238	255	1030	1248						
MATK	1	0	0	0						
CEACAM7	198	197	8039	1486						
CD79B	0	0	0	0						
SCN4A	0	0	0	0						
ST7L	715	678	577	498						
TKTL1	0	0	0	0						
PAX6	0	0	0	0						
RPUSD1	2214	2182	725	649						
RHBDF1	3410	3404	2449	2733						
LUC7L	1809	1943	4085	4522						
CACNA2D2	172	160	1281	1557						
BAIAP3	264	352	414	492						
TSR3	3610	3775	1732	1974						
PIGQ	2693	2769	2293	2318						
CRAMP1	543	681	809	963						
TEAD3	842	857	904	884						
SELE	36	95	6	6						
DNAJC11	4018	4008	1569	1676						
FMO3	74	100	62	66						
MYLIP	460	491	1254	1467						
NOX1	13	7	17	24						
E2F2	125	181	114	29						
PSMB1	8814	9705	4775	4976						
SYN1	18	8	25	29						
JARID2	814	601	785	991						
CDKL5	314	320	354	403						
CAMK1G	10	7	24	19						
CDK11A	403	469	420	414						
NADK	6418	6270	3156	3860						
TFAP2B	0	0	0	0						
TFAP2D	0	0	0	0						
DLEC1	81	181	140	277						
CYTH3	1886	1706	739	733						
ADAM22	2	12	18	18						
SYPL1	8846	8916	7641	7086						
CYB561	5675	5892	3513	3868						
SPAG9	4031	3865	2028	2606						
CELSR3	7	28	69	164						
AASS	956	1188	2278	2416						
PLEKHG6	522	509	745	649						
SS18L2	1068	1072	712	758						
MPND	515	540	380	357						
MGST1	44301	47202	20979	21707						
CRY1	1928	1734	1020	1666						
PGLYRP1	0	0	1	2						
NFIX	1192	1151	811	982						
ST3GAL1	3571	3534	3790	4701						
MMP25	25	21	62	65						
IL32	1614	1589	317	240						
PKD1	401	329	1118	1210						
MAPK8IP2	88	53	12	24						
MED24	4300	5192	2461	3052						
RHOBTB2	11236	11523	5961	7544						
HEATR5B	1104	1190	1253	1334						
SEC62	5181	5047	3607	4665						
RPS20	5780	6020	5540	6162						
CSDE1	23281	23894	18183	21048						
UBE3C	5482	5241	2274	2898						
REV3L	813	966	1092	1300						
TENM1	0	0	1	1						
PAX7	0	0	12	5						
MASP2	6	1	7	6						
IYD	135	207	176	134						
FAM76A	518	543	528	480						
TRAF3IP3	3	23	1	3						
POMT2	1565	1709	484	646						
VTA1	4522	4472	2693	2619						
MLXIPL	90	112	356	482						
BAZ1B	2189	2106	1678	2151						
RANBP9	1466	1533	1743	1547						
ETV7	736	881	290	409						
SPRTN	775	830	407	306						
EEF1AKNMT	2583	2544	1174	1077						
DYRK4	434	443	441	620						
ZNF207	8484	8551	6530	6528						
UQCRC1	12981	12944	7178	7569						
STARD3NL	3570	3755	1924	2309						
CD9	51150	48567	38816	25457						
HHATL	0	1	8	6						
NCAPD2	2309	2442	1645	2040						
IFFO1	52	53	346	168						
GIPR	116	234	427	498						
PHF7	176	167	245	386						
SEMA3G	0	3	15	13						
NISCH	2323	2423	3493	4200						
STAB1	20	1	5	4						
FUZ	540	530	507	501						
SLC6A13	4	8	8	5						
IDS	11817	11657	5062	6257						
PRSS3	932	767	998	145						
ZNF200	654	572	443	387						
CD4	94	65	378	293						
LRRC23	382	404	498	757						
BTK	0	5	0	0						
HFE	736	766	537	654						
SCMH1	1161	1244	938	1182						
FYN	208	252	293	318						
HIVEP2	440	484	356	512						
FMO1	0	0	5	0						
ELOA	5980	6132	3273	3400						
LYPLA2	6592	6374	2591	2586						
CLCN6	968	938	778	977						
MRC2	1128	946	3719	4919						
NME1-NME2	3599	3811	1104	1392						
SLC6A7	1	0	0	8						
TSPAN9	296	333	377	410						
BTBD7	1346	1279	1268	1088						
APBA3	1078	1084	869	1045						
MKS1	751	833	855	905						
ABHD5	2056	2065	1647	1329						
ANOS1	436	323	265	385						
AKAP8L	3537	4074	5290	5498						
MBTD1	137	142	423	354						
UTP18	2227	2362	1343	1389						
RNF216	1504	1812	1459	1676						
TTC19	4276	4480	3486	4557						
PTBP1	10531	10820	5524	6404						
DPF1	4	4	7	6						
SYT7	73	70	236	363						
LARS2	2079	2261	675	784						
PIK3C2A	2280	2440	2118	2469						
PLAUR	4724	4641	953	1371						
ANLN	3164	3614	629	1270						
WIZ	927	916	535	535						
RABGAP1	2728	2996	2994	2971						
DCN	171	194	2364	2499						
QPCTL	228	232	186	235						
PPP5C	2837	3078	1399	1498						
CEP68	625	620	1308	1497						
MAP4K3	3435	3225	1610	2347						
ZBTB32	1	2	0	1						
TYROBP	0	0	0	4						
TMEM159	1280	1203	1989	1888						
GABRA3	0	1	0	0						
BRCA1	323	623	149	248						
ERCC1	2064	2174	2354	2577						
CD22	10	0	0	0						
SEMA3B	1509	1469	1744	2131						
MBTPS2	1989	1856	1055	1320						
PRICKLE3	554	558	823	701						
LTF	946	886	14807	19425						
EXTL3	2908	3057	2125	3211						
NR1H4	0	0	0	10						
ELOVL5	8867	8702	2544	3043						
ALOX5	340	428	217	313						
KDM5D	89	32	175	207						
CALCOCO1	4055	4325	7285	8175						
UBR7	2405	2490	1243	1715						
MAP4K5	2837	2651	2235	2427						
EHD3	539	548	1616	295						
PSMC4	5590	5866	2097	1948						
MAN2B2	2389	2241	1414	1924						
SLC7A14	0	0	0	0						
CLDN11	4	11	55	50						
SLC25A39	11092	11148	4695	4382						
MVP	36894	37333	18324	22955						
NUB1	2646	2853	1238	1541						
PGM3	4047	3995	2768	4109						
RWDD2A	387	427	683	807						
CLK1	984	1077	3977	4806						
POLR3B	1342	1400	622	637						
ANGEL1	1153	1046	1314	1827						
RNF14	3761	3781	1856	2042						
DNASE1L1	1078	1176	721	845						
DDX11	1426	1891	1722	2252						
HEBP1	1312	1462	973	1209						
GPRC5A	59686	55803	12542	16943						
MAMLD1	73	79	85	59						
CD6	12	19	17	11						
TACC3	1429	1392	332	295						
UFL1	2370	2341	2715	3089						
POLA2	409	554	384	342						
ZC3H3	1521	1474	898	1216						
CAPN1	33257	32528	15726	15329						
ACPP	468	491	919	668						
MDH1	9239	9537	6053	6077						
SLC30A9	5679	5968	3775	3973						
MTMR11	493	554	1531	1751						
COX15	2662	2682	1807	1893						
CCDC88C	676	759	1078	1389						
YAF2	355	356	255	317						
ZMYND11	3128	3081	2610	2477						
WAS	0	2	0	10						
DPEP1	3	0	0	0						
BID	3107	2886	1472	1883						
MATR3	11924	12440	10003	12169						
NPC1L1	5	2	14	28						
XYLT2	1653	1641	2049	2531						
RGPD5	145	31	329	322						
STMN4	0	0	0	0						
NUDCD3	5286	5760	3616	4576						
ISL1	57	44	78	133						
CHDH	407	473	550	631						
IL20RA	901	957	1216	1191						
CLCA1	0	0	0	1						
CLCA4	759	758	12802	3307						
GLT8D1	1772	2010	2019	2431						
ATP2C1	5786	6022	3609	3723						
IGF1	1	3	5	12						
SLC38A5	2412	2522	892	1357						
RALBP1	3250	3164	2391	2389						
RUFY3	1413	1438	2231	2023						
CNTN1	235	300	546	405						
SLC11A1	5	6	22	38						
WWTR1	4633	4569	3272	4204						
AGPS	3973	3855	759	1176						
ZNF806	0	0	0	0						
CXorf56	593	550	296	477						
ATP1A2	13	7	0	0						
TTC27	1468	1435	739	709						
ZNF582	50	81	46	35						
VSIG2	2471	2628	2864	2463						
PHLDB1	1178	1363	958	965						
MARCO	0	5	3	3						
CYP24A1	156	133	52	61						
PRDM11	106	82	150	222						
SYT13	0	0	0	0						
SNAI2	1613	1390	914	917						
CD74	33839	35388	53108	62582						
HGF	112	141	498	373						
ZRANB1	838	813	1091	799						
NCDN	3284	3102	1571	1836						
ADGRA2	110	72	698	711						
CCT8L1P	0	0	0	0						
ZFP64	898	799	498	756						
MNAT1	1127	1039	839	894						
SAMD4A	837	737	392	380						
RUNX3	101	46	89	143						
MRE11	945	1080	625	757						
PLEKHB1	296	268	515	643						
SERPINB1	13244	13101	5252	4464						
CYP3A43	0	0	3	0						
SLC7A9	8	0	10	4						
SPAST	1063	965	734	678						
NRXN3	378	331	360	613						
OSBPL5	400	306	938	1081						
AQR	2478	2850	2301	2113						
CPS1	31	44	23	88						
C8B	0	0	0	0						
FHL1	194	203	463	474						
RTF2	4660	4756	2932	3091						
GABRA1	0	0	0	0						
NLRP2	2520	2631	865	1152						
SLC45A4	329	311	292	248						
RNF10	15576	14952	8552	9223						
ZNF839	313	372	447	516						
ZDHHC6	3023	2886	1520	1610						
GRAMD1B	4	12	25	22						
RNH1	15050	14543	10342	10694						
NDUFS1	5505	5021	2813	2618						
RB1CC1	2822	3035	3328	3339						
ERP44	5669	5917	4065	4633						
ALAS1	5463	5828	4344	4866						
BIRC3	3159	3740	1398	2040						
AKAP11	281	321	365	498						
GLRX2	1156	1113	592	748						
SNAPC1	702	547	739	927						
DERA	3461	3682	2455	2472						
STRAP	9314	9534	3876	3960						
ABCC2	26	57	7	54						
DEF6	464	644	918	1151						
PLEKHO1	224	148	314	281						
GCLM	7556	7715	1972	1871						
UBR2	1767	1968	1780	2030						
EHD2	22672	21604	8327	12108						
DEPDC1	507	766	101	109						
CCDC28A	879	834	1183	1440						
RRAGD	1498	1606	1385	1976						
HSF2	737	721	618	658						
PHF20	1250	1428	1570	1699						
HSD17B6	2133	2063	1490	2043						
NR1H3	585	688	870	1018						
TYMP	10719	10736	4320	3084						
NCAPH2	2190	2374	1325	1422						
TOMM34	4187	4422	1470	1642						
SEC63	3795	4037	3393	4216						
KPNA6	4420	4905	3485	3418						
VIM	4596	4467	7683	8707						
RTEL1-TNFRSF6B	424	346	285	333						
FAS	4776	4522	1270	1781						
RNASET2	849	900	1056	1380						
CD44	12638	12370	12957	12398						
KCNG1	223	223	75	167						
AGPAT4	308	472	229	267						
SLAMF7	4115	3558	226	242						
BTN3A1	943	1176	858	1331						
MIPEP	2338	2412	1222	1278						
PRKCH	1478	1332	1753	1360						
INSRR	0	0	0	0						
IFNGR1	9369	10351	7261	8583						
B4GALT7	1096	1142	910	811						
SH2D2A	5	18	5	5						
VRK2	2736	2893	1413	1208						
TNFRSF1B	1054	1220	927	1667						
VEZT	4995	4958	2364	2727						
POU2F2	13	1	30	53						
BRD9	1452	1413	1072	1059						
SNX1	7231	6802	3763	3798						
TBPL1	698	617	411	400						
ARNTL2	3983	3883	1207	1162						
BCLAF1	5109	5705	4519	4664						
SLC39A9	4011	3967	2778	4154						
ANK1	50	98	140	64						
IBSP	0	0	0	0						
TFB1M	886	993	446	599						
RABEP1	2744	3270	1573	2120						
HMGB3	5812	6324	2029	1933						
NUP160	4481	5004	2436	3342						
BAK1	3101	3275	1304	1101						
MUSK	2	1	0	0						
IKZF2	245	320	387	423						
GRN	21755	21625	19733	22197						
FAM13B	1074	1057	648	831						
ARHGAP31	837	822	781	859						
CENPQ	252	280	244	193						
SARS1	10023	10485	7478	8283						
RANBP3	810	862	642	615						
ARID4A	780	838	1416	1430						
EIPR1	1640	1630	1035	607						
PNPLA6	2688	2537	1309	1139						
IFT88	712	899	447	680						
ALG1	3776	3812	1421	1676						
ZCCHC8	808	724	821	1001						
ABCF2	2693	2768	977	868						
CHPF2	5248	4678	3335	3677						
LRRC7	0	1	10	14						
FUT8	2002	1814	1950	2283						
UBA6	2019	2371	1611	1558						
GAB2	630	652	740	1010						
ATP6V0A1	3106	3327	2887	2852						
PIAS1	2713	2891	2537	2796						
SLC4A7	850	692	778	979						
APBA2	120	102	305	389						
MAP2K3	7187	7078	3018	2930						
EFCAB1	127	261	285	471						
TMSB10	37530	38618	20013	20329						
ASTE1	403	417	407	505						
RNF19A	2963	2870	2761	3362						
PEX3	1435	1485	878	952						
GABARAPL2	3753	4218	4649	4088						
MYOC	0	0	0	0						
SH3YL1	1824	1791	2314	2741						
FAM136A	3966	4056	2169	2373						
VCL	18865	18045	7244	7416						
DEPDC1B	519	498	64	30						
DAPK2	1602	1540	778	1051						
NSMAF	2383	2342	1239	1493						
ADSS2	3137	3275	1557	1797						
STAP1	0	2	5	5						
TIMP2	177	216	404	189						
RFC1	1737	1985	1884	2186						
TBC1D23	3761	3410	2218	2686						
CUL3	5639	5702	4569	3887						
MYOM2	127	160	111	140						
OTC	0	0	0	0						
CYP46A1	5	19	47	48						
AC118549.1	2056	2128	1722	2064						
SLC18A1	0	0	0	0						
USP2	45	53	71	36						
CASR	1	3	7	42						
TUBG2	688	785	928	1293						
RPL26L1	1530	1564	636	693						
FLT4	202	172	156	237						
NSUN2	5722	5727	2681	2956						
FBXO42	1443	1385	1658	1631						
MFAP3	1173	1149	574	641						
MRI1	1160	1172	1557	1612						
METTL1	906	757	323	395						
HOXC8	3	2	0	0						
AGA	1202	1188	858	792						
PI4K2B	2968	3247	1500	1722						
BOD1L1	679	795	1420	1619						
MAT2B	5437	6228	4088	4606						
TLL1	43	37	0	1						
EDC4	3671	3825	3172	4363						
TRIO	1315	1333	819	1085						
VCAN	308	401	1138	1165						
CLEC16A	1825	1845	1421	1680						
MSR1	0	0	0	0						
CDH1	36251	36332	15504	18381						
MTREX	4076	3968	3047	3072						
DNAH5	347	439	545	582						
ZFYVE16	2247	2164	2084	1626						
RIPOR1	665	695	672	1005						
C6	28	16	46	45						
RAI14	6647	6409	5997	7475						
SOX30	2	11	12	10						
PNKP	2250	2350	1225	1252						
BEST2	1	0	8	3						
PHLPP2	343	302	189	402						
SPDL1	925	920	388	366						
STAU2	2260	2364	2220	2253						
SLC66A1	995	1028	651	691						
CTNS	1792	1647	537	506						
RTN4R	488	520	178	187						
PHF23	2529	2504	1384	1261						
CDH10	0	0	0	0						
INPP4A	1028	1183	775	752						
RAB27B	13874	14277	3661	3742						
PSMA4	8675	9004	3086	3374						
MYO16	19	18	14	19						
LSG1	1989	2449	1093	1132						
PARP3	874	909	862	1038						
TNC	8873	9869	7583	9011						
THAP3	563	483	556	809						
RIPOR3	129	155	411	655						
TDP1	1093	1043	591	724						
AIFM2	2233	2319	544	808						
C2orf83	0	0	0	0						
AL049834.1	315	407	370	342						
MED17	2037	1573	1773	1806						
RETSAT	4956	4683	3126	3341						
CAPG	8714	9179	3684	4008						
AP2S1	2339	2605	1373	1063						
USH2A	0	6	1	7						
ZPBP	3	3	9	0						
TG	23	25	23	214						
ADAM28	674	702	1193	1840						
BARX2	28	18	103	148						
DCUN1D1	2585	2664	1690	1592						
JADE2	627	759	544	704						
ZIC2	0	0	0	0						
LCP2	2	0	0	0						
TRIT1	868	831	947	959						
ADRB1	123	185	269	274						
GUCA2B	0	0	6	0						
CUL7	2356	2440	4095	5100						
CTNNA1	44415	42104	19922	22669						
PHKA2	1200	1175	886	873						
CNTLN	103	122	158	156						
EPHA3	0	0	6	10						
HSPA5	75079	73925	40619	52593						
DSG2	28275	28186	9477	15138						
GEMIN8	708	794	709	785						
OFD1	1713	1917	2726	3338						
GPM6B	76	135	365	353						
MAGEC2	0	0	0	0						
PREX2	0	1	19	109						
WDR37	1169	1425	952	1033						
YTHDC2	2286	2237	1386	1121						
CTPS2	1549	1606	1187	1446						
ATP6V1H	3705	3855	2170	2583						
POLR2B	6773	6388	3877	4473						
FAM214A	1884	1714	1445	1242						
ARAP2	1372	1711	1794	1474						
TPR	3569	4145	4295	4907						
CP	2862	3124	21084	31762						
KIAA0556	655	794	783	749						
DTNBP1	593	679	488	584						
XK	138	141	82	82						
ANO2	3	2	21	33						
C12orf4	1247	1292	622	629						
SCML1	274	319	404	488						
WWC3	1802	2066	2254	2718						
ARHGAP6	23	10	68	67						
FAM184B	0	4	13	14						
MAP4	5830	6070	3179	3142						
GOPC	2581	2603	1641	2201						
ROS1	7271	7395	5103	6020						
USP28	1582	1579	1646	1682						
HDAC9	1313	1472	281	413						
TSPAN17	4503	4312	1688	1606						
NOP16	2422	2401	827	948						
CC2D2A	773	675	585	609						
RRM2B	9504	8621	7691	10941						
ZNF800	1037	1061	1003	1109						
TNFRSF17	0	0	0	0						
SNX29	235	247	381	433						
LMO3	11380	12266	8846	10815						
MRPS10	4081	4602	2087	2039						
GUCA1A	6	0	8	8						
RSF1	879	925	1183	1419						
VPS13D	1957	2227	4462	5995						
CELF2	7723	7297	3148	3259						
FAM120A	3251	3580	1693	1947						
R3HDM1	852	979	485	514						
COL9A2	439	557	1810	2706						
KITLG	3626	3922	4342	5033						
ERCC8	438	404	205	379						
ADAMTS6	46	23	7	8						
H6PD	1172	1185	3814	4559						
VAMP3	6278	6413	3941	4383						
PER3	634	742	805	871						
UTS2	0	1	0	2						
TNFRSF9	38	31	40	50						
EPN3	1337	1373	2278	1470						
LTBP1	1135	1254	2717	2636						
RCN1	8850	8498	5638	6328						
ELN	0	3	189	162						
RFC2	1773	1703	640	728						
ARID1B	1956	2315	2373	2561						
CLPTM1L	15368	15098	5643	6514						
NEDD4L	10591	10639	6318	7701						
FOXP3	8	9	6	4						
PPP1R3F	169	137	277	266						
HEXB	7398	8018	5235	7235						
PTCD2	407	420	439	394						
NEXMIF	11	8	5	9						
JKAMP	4002	3641	2132	2493						
DKK3	1639	1631	2803	2592						
ARHGEF5	1924	2009	1465	1474						
NFE2L3	532	500	980	798						
MCUR1	1760	1809	1655	1641						
LIMA1	8552	8813	4774	5661						
LETMD1	508	657	1165	1553						
SLC4A8	17	30	23	44						
LAMC3	20	47	167	325						
PTGER3	1	0	39	0						
TNIP3	36	34	76	55						
MAPK9	2896	2760	1593	1891						
COL23A1	9	0	93	90						
BCAR1	4635	4443	4350	5422						
FAM160A2	1207	1497	1525	2074						
HERPUD1	6615	6617	4546	5830						
HOMER3	2529	2473	644	695						
RAD51	490	511	64	53						
POLQ	165	304	65	65						
PIK3CB	1277	1151	1377	1457						
CYBA	3115	3409	2121	2521						
THOC3	1645	1661	1318	1645						
HEBP2	4903	5396	4663	3571						
MPHOSPH9	549	610	549	694						
PLEKHA5	1070	1260	2245	2095						
PRSS8	11441	11147	9684	11975						
SIKE1	1811	2046	1693	2236						
RRP12	1926	2158	1373	1941						
FNIP2	4132	3921	4107	5299						
MSMO1	28517	28095	11976	12508						
TTC17	3039	3330	3870	5280						
ALX4	0	0	0	0						
FSTL4	37	27	49	67						
FOXN3	778	771	1441	1780						
METTL24	0	0	0	0						
AKR7A2	2316	2264	2351	2795						
MRTO4	2287	2451	834	1107						
NNAT	12	9	130	169						
USE1	743	749	524	500						
MCF2L2	54	52	36	50						
NRIP2	8	7	71	87						
LAMA3	15226	15871	2756	4676						
AP5M1	2991	2658	1706	1871						
ANAPC4	1683	1768	1115	1350						
KCNQ1	983	1111	2513	3002						
TRAPPC3	4776	4787	2578	2533						
THRAP3	4486	4847	3832	4239						
PHPT1	3569	3573	3993	4384						
ENTPD2	23	13	24	52						
LY75	431	401	906	997						
ARID4B	1552	1902	2359	2470						
OPN3	1156	1202	796	917						
SDCCAG8	2058	2043	2583	2513						
PTPRN	35	37	247	272						
HHAT	394	492	278	410						
KIF1B	1757	1564	1283	1092						
FOXC1	185	193	187	219						
TBC1D22A	1539	1388	1290	1674						
SYNE2	775	1130	2628	2940						
PLEKHH1	41	73	314	296						
ATP9A	2761	2430	1900	2144						
SPO11	0	0	0	0						
CBLN4	0	0	0	0						
CHRDL2	4	2	19	9						
FAM168A	256	332	272	371						
RELT	251	263	71	127						
GALC	3906	3681	2097	2902						
NOP58	4050	4176	2098	2419						
SZRD1	3208	3349	1479	1564						
KCNH2	11	3	23	10						
CUL1	5297	5519	3152	4057						
FAM114A2	1286	1208	848	982						
CYFIP2	3985	4645	3304	3475						
TAB2	956	1047	853	793						
GINM1	2549	2582	2486	2667						
EIF2AK2	5352	5448	1504	1633						
AC022966.1	1534	1721	1789	2372						
KMT2C	736	884	2298	2302						
MCOLN3	59	58	12	39						
CCDC85A	256	218	133	133						
PUM2	1726	1933	2616	3440						
MRPL43	2438	2633	1657	1702						
ITIH4	11	20	60	59						
ITIH1	0	2	0	1						
HPF1	983	1108	455	553						
ZFR	5033	5170	2978	3768						
ZNF280C	269	321	271	360						
NPFFR2	18	4	9	0						
PHF21B	0	0	1	0						
TRAF1	259	288	178	279						
RC3H2	2293	2609	1743	2148						
IL17RB	95	134	108	223						
TRAF3IP2	2064	1875	1404	1565						
GYG2	144	117	174	159						
DCBLD2	23563	22135	5043	5447						
SERPINB3	16519	17149	126826	92591						
SOAT1	5576	5521	2241	2787						
PKP2	2480	2316	1117	1768						
MSH4	0	0	0	0						
F7	0	0	0	10						
GDI2	12843	13866	6027	6369						
PRDM1	349	267	1274	458						
ATG5	3187	3429	1694	2166						
TMCC3	753	726	369	288						
PITHD1	1638	1675	1127	1227						
MTA3	1285	1349	1281	1145						
USP13	488	593	474	570						
ATP11B	3229	3047	2524	2705						
LAMC2	88989	77501	5462	8604						
CDK14	1107	865	602	875						
SEC61A1	32456	31307	16198	20984						
PPP1R12A	3202	3082	2343	2681						
RASGRF1	186	198	302	327						
CAMK2B	7	8	18	7						
CROCC	663	692	788	903						
POLR3E	2098	1951	1292	1491						
ATP2B4	6374	6742	5892	6435						
ZC3H11A	4504	4505	5665	7251						
RIOK2	1630	1693	1309	1428						
YIPF1	1774	1754	1025	998						
NDC1	1951	1836	653	986						
DGKG	184	175	2	55						
FLYWCH1	1844	1871	1705	1908						
UNKL	546	499	400	432						
TBXAS1	211	239	113	151						
PARP12	4106	4113	885	931						
ALDH18A1	5698	5671	4406	5816						
TARBP1	1040	1015	1250	1232						
GATB	1417	1289	813	614						
MXD1	1873	1964	3531	1519						
CDK17	1765	1778	1363	1620						
DNAJC25	621	646	505	662						
SLC2A3	425	487	9168	15620						
PSD	38	35	153	190						
CTDP1	2066	2059	1162	1232						
YBX3	10482	11665	19560	23949						
STYK1	422	398	397	404						
WNK1	1952	2059	1920	1962						
RPS17P5	0	1	0	0						
CCAR1	3831	4267	2480	2187						
OGFR	3059	3125	1444	1561						
GNA15	3373	3325	2559	2373						
CREB3L3	0	0	0	0						
PIGV	1575	1486	1383	1289						
PTPRU	3533	3615	4142	6203						
SNRNP40	2881	2982	1231	1586						
RIMBP2	0	0	0	16						
COL11A1	7	3	196	297						
QSER1	462	532	394	598						
