X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_1.2EC10_24h_run1	VPA_1.2EC10_24h_run2	VPA_1.2EC10_24h_run3	VPA_1.2EC10_24h_run4	VPA_1.2EC10_24h_run5
atp1a2a_85006	0	0	2	2	0	0	0	0	1	0	0	1	0	2	3
calcoco1a_85007	103	83	101	75	0	119	94	118	72	57	75	57	56	73	55
chn1_85008	165	123	73	101	1	79	111	138	104	91	69	93	133	131	133
itk_85009	0	6	3	2	0	4	4	1	2	0	0	0	9	13	1
arhgap15_85010	4	0	6	5	0	1	5	1	1	4	4	5	4	6	2
igl4v9_85011	4	13	6	5	0	3	7	5	6	4	1	4	15	3	0
ccnd2a_85012	120	82	90	81	0	104	70	113	79	53	64	34	70	85	66
ldha_85013	333	291	452	392	0	259	404	379	399	348	196	227	390	346	472
pus1_85014	332	321	280	274	0	198	244	153	94	144	265	187	104	120	160
ido1_85015	8	6	5	0	0	0	2	3	4	2	2	3	6	1	1
tmed7_85016	31	15	19	22	0	14	17	19	11	7	7	7	25	11	12
gfpt1_85017	30	31	52	40	0	36	32	35	47	23	13	26	40	39	29
phospho1_85018	1822	1108	1262	1184	1	962	984	1198	1354	1260	401	794	949	1164	1168
banf1_85019	1444	2047	2007	2233	1	1331	2254	2283	2418	2161	1016	1255	2171	2117	2483
rtn4ip1_85020	37	20	25	10	0	54	26	30	17	19	19	15	32	25	22
smap1_85021	40	9	34	14	0	31	10	14	5	15	13	9	15	15	8
gale_85022	36	20	20	18	0	25	35	35	29	10	27	10	20	20	21
cks1b_85023	116	35	40	20	0	92	61	133	29	18	43	49	62	69	26
grm4_85024	0	1	1	1	0	2	0	0	0	2	5	0	4	4	2
myl1_85025	1073	2286	2236	3017	7	1009	2618	2815	3694	3199	1034	1076	2596	3662	4084
rpl29_85026	719	773	980	1033	0	693	1072	1448	1195	726	598	518	924	907	839
atg12_85027	189	210	193	238	0	157	180	193	190	220	107	113	176	229	237
pla2g4aa_85028	132	128	114	118	0	88	95	148	113	104	57	81	114	107	134
oxtr_85029	1	5	5	3	0	2	1	0	8	2	0	1	3	4	4
flad1_85030	1	4	2	3	0	4	6	6	3	11	14	5	6	4	6
plekhg4_85031	558	388	486	306	0	493	336	395	306	315	254	268	376	296	373
tmem65_85032	247	161	198	137	0	238	142	156	107	143	97	141	197	152	126
rnf19b_85033	53	6	14	11	0	19	18	19	9	8	7	12	16	13	5
phlda3_85034	11	40	17	5	0	11	15	23	5	11	13	12	23	5	8
cnr1_85035	3	1	1	2	0	1	2	2	0	1	0	1	5	2	1
brip1_85036	6	8	8	7	0	3	6	6	3	4	4	3	7	4	4
carmil1_85037	5	6	5	1	0	0	8	4	1	4	3	5	10	6	5
sec62_85038	170	133	177	122	1	187	124	165	157	148	81	86	169	138	159
atp1b1a_85039	123	140	181	148	0	112	155	204	191	132	99	74	134	122	153
eed_85040	110	82	70	48	0	95	77	86	49	52	54	27	64	43	41
fcho1_85041	14	8	10	9	0	3	7	8	5	10	5	5	9	11	3
socs3a_85042	3	16	18	9	0	7	20	7	9	16	5	7	11	8	15
hdac8_85043	3	3	7	10	0	6	1	7	3	7	5	4	6	6	3
pomca_85044	5	7	2	0	0	0	3	1	2	7	11	2	14	5	0
eloa_85045	297	188	228	203	0	244	220	227	198	233	144	161	221	193	199
atp6v0b_85046	217	286	227	300	1	125	262	271	322	267	105	144	257	282	360
atad5a_85047	10	6	12	7	0	13	6	8	12	4	16	6	10	6	11
rxylt1_85048	5	2	4	3	0	0	2	2	3	2	0	0	3	3	7
cops7a_85049	479	393	410	471	0	480	445	500	425	377	279	257	438	408	454
tnfsf13_85050	1	1	0	2	0	2	2	1	2	9	1	1	4	4	0
edn1_85051	22	48	56	37	0	31	47	53	55	41	39	29	45	44	50
mcm10_85052	69	56	55	38	0	97	51	94	36	49	66	27	55	30	36
zgc:162964_85053	4	3	1	0	0	3	6	3	1	4	1	1	6	6	3
casc3_85054	734	388	421	397	0	686	432	381	271	323	275	231	374	346	354
si:ch1073-342h5.2_85055	10	10	14	14	0	7	17	10	15	13	4	7	17	15	13
vcam1b_85056	84	47	72	41	0	49	58	50	37	41	33	25	50	53	62
cyp11c1_85057	7	6	7	2	0	8	0	4	0	5	0	4	6	0	5
pnp5b_85058	50	28	21	18	0	29	22	40	16	10	33	13	34	15	29
sspn_85059	0	1	2	1	0	0	4	0	3	5	0	2	0	6	0
slc38a2_85060	29	27	36	44	0	41	24	42	51	39	22	13	37	27	24
bace2_85061	3	8	6	4	0	7	13	5	7	10	0	3	7	4	5
atp6ap1a_85062	33	38	18	15	0	15	22	26	26	16	13	8	22	22	8
camk4_85063	6	2	3	8	0	3	2	1	3	7	0	3	7	6	3
ero1b_85064	109	81	94	65	1	98	63	77	72	65	72	45	65	57	78
foxb1a_85065	94	76	117	51	0	92	86	98	47	56	76	44	58	67	59
eomesa_85066	83	49	57	53	0	71	56	80	62	42	65	35	71	48	61
gstz1_85067	18	12	15	10	0	2	0	1	4	4	1	5	4	10	5
man2b1_85068	68	70	64	76	0	79	72	64	89	82	43	51	103	88	89
prcp_85069	9	4	7	9	0	6	5	10	8	6	6	1	13	7	8
rab4a_85070	387	301	350	280	0	318	331	163	252	174	238	249	176	312	366
havcr1_85071	0	2	0	7	0	7	1	6	3	10	0	0	4	7	6
cdk7_85072	203	153	175	149	0	229	129	210	119	96	156	102	180	102	111
ipcef1_85073	365	160	269	140	0	228	162	195	164	149	154	112	168	134	146
wfs1b_85074	1	4	2	6	0	13	9	7	1	10	4	5	10	4	5
gps1_85075	99	157	104	259	0	78	188	193	208	238	52	118	154	214	246
lgmn_85076	16	15	14	5	0	17	12	7	14	9	17	3	10	12	2
cyp51_85077	36	70	82	114	0	52	104	108	86	62	29	28	67	61	62
dre-mir-145_85078	1	10	0	5	0	2	1	3	9	4	5	1	8	14	3
phlpp1_85079	2	6	8	4	0	8	6	10	1	6	14	2	12	4	6
hbba1_85080	0	0	3	1	0	3	4	0	0	3	0	1	2	0	4
grwd1_85081	148	140	111	101	1	164	131	149	94	71	95	59	99	73	90
daxx_85082	289	323	394	308	1	299	293	269	339	318	156	183	285	270	330
ptk2ab_85083	102	127	80	113	0	120	116	72	107	110	54	83	105	144	145
efhd2_85084	52	16	32	15	0	37	19	27	16	24	16	20	21	20	18
timp4.1_85085	5	11	1	13	0	13	7	2	5	10	3	3	13	15	9
kat2b_85086	0	1	1	2	0	1	2	3	1	0	0	0	6	2	0
mtnr1bb_85087	0	5	0	3	0	0	6	2	3	3	1	3	3	7	6
hs2st1a_85088	390	613	505	620	1	391	520	613	546	585	209	392	532	626	638
ggt1a_85089	1	4	0	0	0	3	0	1	3	4	3	0	4	2	2
clpxa_85090	322	287	253	244	1	255	278	311	179	212	225	150	272	213	204
ccnjl_85091	8	2	9	3	0	7	8	10	4	4	5	3	13	10	1
ttc21b_85092	1	1	2	1	0	0	3	3	3	5	5	2	1	2	2
rbms2a_85093	226	117	197	153	0	219	155	210	94	116	161	89	151	132	131
cyt1_85094	14424	23317	27187	31532	14	15556	22315	21755	30993	25977	9918	17364	26735	32777	31195
CABZ01063556.1_85095	97	194	108	287	0	111	187	153	308	304	82	121	211	314	318
aebp2_85096	491	322	421	264	0	486	323	290	202	255	243	137	238	257	227
fsd1_85097	56	18	33	15	0	28	28	45	16	25	27	11	42	18	26
tmem107_85098	17	20	23	23	0	14	19	33	26	10	21	14	21	17	22
dlb_85099	363	414	313	399	0	331	405	424	358	366	210	220	354	366	407
prmt5_85100	23	10	28	10	0	28	17	38	18	2	21	5	18	14	10
cgnb_85101	125	62	87	43	0	108	50	85	32	40	35	21	72	34	42
sytl1_85102	15	7	10	11	0	22	12	10	4	4	8	4	9	9	1
viml_85103	3	0	2	6	0	2	4	0	0	3	3	0	6	3	3
notch3_85104	91	81	80	80	0	115	70	108	62	48	60	39	68	47	70
pttg1_85105	285	295	249	301	0	261	314	317	287	226	197	159	260	269	266
itgae.2_85106	0	2	2	2	0	3	3	7	4	3	0	1	4	2	0
sirt2_85107	43	21	25	23	0	49	37	22	25	7	18	17	20	14	21
gzma_85108	4	0	0	1	0	0	0	0	1	2	1	0	0	1	0
usp18_85109	5	13	1	1	0	5	7	2	6	4	0	2	1	1	4
gprc5ba_85110	416	422	414	340	0	413	326	350	236	366	190	245	377	275	483
si:ch211-266c8.1_85111	41	39	39	41	0	16	22	26	50	56	8	28	89	48	55
gnai2b_85112	13	9	21	8	0	11	10	7	10	10	14	5	18	11	11
prr15la_85113	66	59	54	51	0	29	62	31	32	44	53	19	28	30	50
rpl39_85114	10655	7731	9580	7293	1	9249	8324	10268	7429	5872	5609	4394	7388	6863	7650
col15a1b_85115	30	45	34	29	0	40	50	57	30	35	47	15	43	30	32
hspa4a_85116	7	7	6	5	0	12	10	8	5	0	12	2	4	4	7
grin3ba_85117	0	1	1	1	0	3	5	1	1	6	2	1	4	1	5
cybb_85118	12	7	16	2	0	15	3	5	2	3	2	8	18	1	11
narfl_85119	136	151	166	222	0	157	185	178	191	228	99	111	183	192	180
rpa1_85120	639	422	605	515	1	609	570	777	584	445	438	350	644	492	544
acaa1_85121	0	0	2	5	0	6	0	5	1	2	0	0	4	1	2
scn4aa_85122	0	4	2	1	0	0	3	0	9	5	0	1	9	2	1
rab11fip2_85123	41	25	22	13	0	44	23	14	18	8	34	12	24	6	22
ube2v2_85124	114	273	263	349	0	148	335	312	392	302	170	180	275	319	372
slc40a1_85125	8	22	20	8	0	6	11	20	20	8	5	11	11	11	13
flna_85126	1365	1044	1005	932	1	1161	1000	1002	846	933	518	718	1110	1056	1198
psmb3_85127	198	128	202	115	0	137	145	216	172	89	71	100	149	137	136
PHF21B_85128	90	78	56	37	0	113	63	51	31	59	71	41	18	42	45
grhl2b_85129	171	145	156	117	0	156	151	159	133	121	146	101	165	135	151
uevld_85130	4	4	5	2	0	7	3	2	4	2	1	1	0	0	1
smc1a_85131	3	2	4	1	0	2	1	0	0	3	10	2	2	2	0
ryr3_85132	0	6	1	2	0	0	1	2	3	0	0	2	2	1	0
amacr_85133	7	6	15	6	0	5	4	7	5	4	2	0	10	9	1
nsdhl_85134	6	5	8	4	0	7	2	5	3	0	4	1	12	5	4
scarb1_85135	1	3	3	1	0	0	1	1	1	1	5	3	1	1	6
tm9sf2_85136	62	62	75	117	0	59	101	85	105	79	31	48	67	80	105
creld2_85137	8	3	5	5	0	0	3	6	3	0	9	3	1	1	5
enosf1_85138	14	6	5	4	0	12	11	10	4	1	9	4	7	3	4
dcn_85139	96	92	121	130	0	76	96	161	132	116	68	60	122	149	141
ddr1_85140	7	1	0	5	0	3	4	1	0	4	0	4	2	3	3
btg2_85141	1008	1158	1158	961	1	962	922	1146	871	879	579	603	990	840	998
casp6_85142	31	36	18	25	0	10	29	25	31	25	17	14	44	19	27
htr6_85143	0	1	0	0	0	0	1	2	0	3	0	2	1	2	4
stambpa_85144	110	89	95	66	0	112	91	90	76	69	39	50	121	74	72
clstn1_85145	55	38	45	25	0	71	32	67	22	23	40	15	49	18	29
igfbp3_85146	32	6	19	2	0	24	9	24	7	9	12	6	28	5	15
zgc:66313_85147	42	76	35	55	0	63	51	59	36	31	30	22	53	65	82
chmp6b_85148	42	24	51	27	0	33	27	32	30	16	39	12	46	20	16
scn4bb_85149	8	1	1	1	0	1	0	3	1	0	0	0	6	0	2
dio3b_85150	3	4	1	1	0	1	5	3	1	1	2	0	5	2	2
st3gal5_85151	171	242	192	321	0	160	277	238	323	250	120	197	283	321	305
bcas2_85152	180	164	163	133	0	261	184	190	150	72	92	67	143	141	124
prkcda_85153	74	80	119	64	0	122	90	96	86	82	54	61	88	87	100
padi2_85154	708	656	741	795	0	706	691	803	777	777	421	402	766	763	814
kcnk1a_85155	44	20	35	19	0	30	13	34	26	9	15	14	13	8	24
akap8l_85156	11	4	2	2	0	16	7	2	6	2	5	3	4	1	4
fkbp5_85157	0	6	4	2	0	7	2	3	0	0	0	3	6	1	6
gnb5b_85158	3	0	0	3	0	6	1	0	2	1	2	4	2	3	2
galnt2_85159	735	1026	884	1117	0	745	948	943	907	1008	541	680	927	1152	1238
hnrnph1l_85160	7	9	24	12	0	12	12	15	5	6	7	12	10	14	11
zdhhc6_85161	11	4	11	8	0	18	11	22	3	12	6	14	22	7	6
il4_85162	4	2	0	1	0	2	7	0	1	1	0	2	2	2	5
srd5a1_85163	10	6	4	5	0	4	10	12	6	4	3	4	3	5	10
uqcrq_85164	816	3372	2831	5556	7	1117	3471	3307	5393	6097	841	2411	2851	5441	5915
si:ch211-71m22.1_85165	3	1	4	3	0	9	2	0	5	4	3	3	3	1	5
lrp6_85166	84	42	35	15	0	57	26	41	10	22	35	19	37	23	15
gabrd_85167	8	10	10	5	0	6	11	17	2	5	6	0	14	13	11
il17rc_85168	13	17	8	10	0	10	14	8	5	9	9	15	11	10	4
hspd1_85169	83	53	77	49	0	75	61	63	53	27	39	36	59	46	52
tbxa2r_85170	13	2	12	4	0	3	5	6	3	9	9	2	6	4	2
sqstm1_85171	2	2	1	0	0	0	2	0	0	1	1	0	0	3	1
ikbkg_85172	237	113	198	118	0	262	102	166	121	71	119	75	158	137	117
mpx_85173	10	2	1	4	0	5	7	10	5	4	8	1	1	3	2
fkbp14_85174	32	11	8	7	0	15	11	12	5	1	19	6	12	2	4
pfklb_85175	5	6	11	3	0	7	1	5	0	5	2	5	6	6	0
slc29a2_85176	168	169	79	207	0	151	127	145	152	118	77	137	131	163	195
ar_85177	9	1	10	4	0	1	10	4	4	1	3	2	15	3	5
pcdhb_85178	7	4	8	6	0	8	3	2	2	15	7	4	5	12	7
cryabb_85179	7	4	3	6	0	1	8	2	1	6	0	2	3	8	3
cd37_85180	4	6	2	2	0	0	3	4	6	5	0	2	5	10	0
gria4b_85181	6	4	6	7	0	3	3	4	2	5	5	5	3	2	6
arl4ca_85182	38	50	51	39	0	44	54	79	51	39	20	25	45	32	51
pllp_85183	9	12	25	35	0	9	15	8	52	38	7	14	26	26	43
uqcrfs1_85184	26	6	10	9	0	11	9	14	6	3	6	8	8	7	7
vtg7_85185	0	0	3	1	1	1	4	1	2	0	1	0	4	0	2
cndp2_85186	3	0	3	3	0	4	1	3	1	4	2	2	0	2	4
acd_85187	114	89	98	51	0	119	76	84	67	49	67	54	69	71	72
CR381531.2_85188	34	9	23	16	0	26	25	25	15	39	28	16	28	15	42
dek_85189	25	20	20	24	0	21	24	33	30	9	19	11	17	23	12
arntl2_85190	131	164	221	165	0	179	158	177	207	160	144	120	204	171	163
egf_85191	9	3	6	5	0	5	6	4	5	2	3	4	7	4	3
cnr2_85192	0	1	1	0	0	0	0	6	0	1	1	2	1	5	1
pfn1_85193	589	613	855	532	1	735	789	907	724	433	356	344	622	531	513
cst3_85194	203	130	198	235	0	153	149	177	334	164	78	157	205	251	220
zgc:111986_85195	327	131	144	125	0	159	102	158	82	100	101	87	96	90	97
slc35a3a_85196	29	17	18	11	0	33	29	25	11	12	11	13	18	16	18
dad1_85197	269	371	280	366	0	284	330	327	362	343	143	208	212	269	379
slc5a1_85198	2	11	6	2	0	3	3	3	2	3	1	0	5	4	9
CR318624.2_85199	2	1	6	2	0	5	2	2	7	1	0	11	2	10	7
egr2a_85200	4	11	0	8	0	6	6	5	8	5	2	1	5	5	11
cyth1a_85201	13	11	8	5	0	7	7	5	10	9	16	5	9	4	5
ktn1_85202	404	382	381	417	0	347	348	412	262	289	328	366	316	389	419
adam15_85203	4	0	0	2	0	5	1	1	5	1	5	1	10	1	2
slc2a2_85204	13	9	19	25	0	9	18	17	26	16	12	11	23	20	12
BX005105.1_85205	4	5	5	4	0	1	2	1	2	14	2	0	10	5	5
vdac2_85206	260	243	312	221	0	356	229	393	243	170	136	136	247	223	182
tlr1_85207	1	7	2	0	0	1	3	6	5	5	3	1	8	8	4
comtb_85208	21	4	7	2	0	2	2	7	11	7	5	5	4	9	10
lbr_85209	168	202	225	216	1	145	217	233	262	241	143	114	212	219	277
masp2_85210	22	0	17	3	0	7	8	2	4	6	2	1	7	8	2
axin1_85211	24	16	6	2	0	19	8	9	7	8	18	8	17	7	5
lrrc20_85212	21	10	25	10	0	21	10	18	15	11	15	11	7	14	2
slc5a5_85213	1	3	10	1	0	1	2	3	4	5	5	1	2	1	7
coasy_85214	14	1	9	2	0	6	2	3	5	7	0	6	3	5	6
il10rb_85215	340	211	260	241	0	322	281	268	221	250	148	167	272	223	239
cyb5r2_85216	12	7	14	15	0	11	5	7	6	7	0	12	9	5	6
tomm70a_85217	19	7	6	5	0	7	8	9	6	4	11	5	9	5	9
ccr7_85218	0	6	5	1	0	1	2	0	5	4	1	0	0	1	0
nkx2.2a_85219	16	36	21	30	0	52	46	36	25	22	24	17	33	17	36
cyp26b1_85220	400	300	370	310	0	366	342	381	218	252	308	191	323	276	302
srp72_85221	105	101	102	59	0	102	104	110	109	72	125	50	86	63	79
grin2db_85222	20	8	21	10	0	12	9	12	12	11	5	5	9	15	6
pik3c2g_85223	3	5	2	2	0	2	2	4	1	4	0	4	7	3	3
mrps17_85224	309	619	598	787	0	277	549	481	661	688	257	379	570	761	839
rpl6_85225	2337	1835	2152	1617	0	2384	2267	2961	2139	1365	1465	858	2070	1550	1475
snai2_85226	182	131	174	112	0	149	124	180	111	97	75	65	117	99	110
dnajb6b_85227	76	69	143	130	0	67	73	83	85	61	35	47	73	63	70
esr1_85228	2	3	0	1	0	4	0	0	1	4	1	4	6	3	2
ctsla_85229	1195	546	1264	930	0	570	480	671	814	736	753	1064	1614	2365	3188
mapkapk5_85230	87	107	87	105	0	93	108	94	109	95	82	54	91	105	101
amer1_85231	292	158	186	162	0	200	185	268	106	134	205	139	128	112	147
atmin_85232	57	81	68	55	0	27	88	61	62	95	36	41	71	32	61
lhfpl6_85233	1	2	10	0	0	6	1	4	5	0	2	1	5	2	2
per1a_85234	1	5	0	1	0	0	0	1	3	6	3	1	1	2	1
mgst1.2_85235	92	17	65	41	0	44	67	75	45	27	48	20	66	39	47
stat3_85236	305	331	224	292	0	302	280	259	250	255	172	159	306	361	284
abcg1_85237	2	0	1	2	0	2	2	0	3	5	0	2	2	6	7
hdhd5_85238	21	9	7	14	0	16	6	7	1	6	5	1	16	6	6
snrpa_85239	57	25	36	50	0	60	48	42	38	24	35	20	28	28	18
amy2a_85240	0	5	8	1	0	0	0	2	5	3	2	1	3	4	7
lama2_85241	18	17	13	10	0	14	4	17	4	5	9	4	11	10	9
ikzf1_85242	8	18	31	15	0	11	13	17	11	7	2	9	4	9	8
bcat1_85243	3	8	10	0	0	3	1	2	3	4	1	2	3	2	3
si:dkeyp-51b9.3_85244	2	10	12	8	0	12	15	3	4	8	3	3	6	8	15
wt1a_85245	5	4	5	8	0	9	4	2	8	1	0	4	6	10	1
rgra_85246	6	0	6	2	0	2	1	0	3	4	2	1	1	7	4
GFOD1_85247	105	56	51	71	0	64	47	62	32	33	34	36	74	59	70
ret_85248	38	58	37	52	0	37	36	45	40	46	14	30	70	39	66
sfrp1a_85249	222	286	455	325	0	260	359	367	320	269	219	206	349	293	282
tmem63a_85250	37	31	53	35	0	49	33	54	27	26	30	30	44	28	33
wnt1_85251	3	0	6	8	0	3	4	2	5	1	2	4	2	1	0
fsta_85252	32	13	8	3	0	18	7	19	8	6	15	4	12	12	11
etv1_85253	1	2	3	4	0	7	2	1	1	3	0	2	7	2	1
cyc1_85254	322	446	314	454	0	327	496	571	530	418	283	239	419	456	431
si:dkey-16l2.17_85255	10	5	6	1	0	12	2	8	3	8	2	1	7	3	3
kctd9a_85256	107	123	118	150	0	104	128	129	137	123	70	99	123	122	158
wnt8a_85257	2	0	0	1	0	0	1	1	1	0	0	1	3	0	1
eci1_85258	9	7	23	12	0	10	8	14	18	25	8	13	18	17	24
sgcb_85259	54	69	71	72	0	59	96	83	107	71	28	37	69	51	97
ppie_85260	0	8	2	10	0	1	2	13	5	7	4	1	17	9	4
cenph_85261	48	92	20	91	0	88	98	31	57	25	0	37	89	162	82
abcc5_85262	282	100	206	108	0	255	98	125	121	65	98	90	134	96	89
mfsd2aa_85263	21	8	12	8	0	1	11	8	2	2	2	6	4	2	2
zmiz1a_85264	51	42	68	48	0	41	62	81	36	39	41	32	52	52	72
map2k4a_85265	78	25	36	9	0	67	27	46	27	13	34	16	27	15	11
isl2b_85266	45	57	61	65	0	52	45	100	51	45	23	34	81	47	69
pcdh2ab12_85267	66	17	41	12	0	56	26	36	22	29	38	23	30	24	19
prx_85268	91	53	134	83	0	70	75	73	84	65	59	41	63	70	81
rb1_85269	187	155	171	143	0	202	160	188	134	108	141	65	132	133	142
ube2t_85270	144	136	154	82	0	123	147	164	117	74	77	64	142	87	78
eif2s2_85271	3396	6914	4406	8650	1	3744	6080	5261	7415	8961	2330	4631	5332	8153	8794
psmd12_85272	1127	1432	1534	1612	0	1099	1609	1539	1559	1499	684	911	1465	1526	1811
bin2a_85273	20	37	33	35	0	22	34	27	34	24	16	15	26	27	41
dlgap5_85274	37	72	49	89	0	39	85	56	95	70	9	44	55	59	91
dcun1d4_85275	195	119	183	134	0	156	139	108	141	103	74	74	163	159	164
mmp15b_85276	26	24	24	19	0	20	22	23	24	11	11	5	20	17	12
gtf2a2_85277	18	1	11	0	0	6	3	17	1	10	1	15	5	21	12
nfe2l1b_85278	32	29	35	19	0	34	30	29	37	27	27	14	33	25	32
e2f7_85279	112	129	144	86	0	133	82	164	90	65	102	54	128	79	99
hbl4_85280	2	5	8	3	0	3	1	0	1	1	2	3	2	1	2
hoxb13a_85281	0	1	9	5	0	1	2	4	1	3	5	0	6	9	5
bcl2l13_85282	81	63	62	37	0	67	41	81	38	41	48	24	53	35	32
sult1st3_85283	5	3	12	1	0	0	1	1	0	5	3	4	1	4	4
opn1sw1_85284	15	4	28	4	2	13	6	20	6	3	6	12	4	6	3
ube2a_85285	425	1135	1050	1228	2	523	1083	1017	902	1410	334	629	513	1119	1253
pop5_85286	68	73	99	100	0	79	105	115	100	85	32	54	81	104	106
mknk1_85287	41	20	27	24	0	25	45	30	30	26	23	24	19	35	15
tagln2_85288	422	786	611	1110	0	406	847	541	932	1247	295	573	638	1035	1116
mapkap1_85289	13	8	8	10	0	18	6	11	10	8	7	6	11	6	4
taldo1_85290	27	6	20	7	0	30	8	17	21	13	12	10	11	19	11
si:dkey-251i10.3_85291	109	28	52	42	0	73	41	49	40	20	41	25	48	32	35
creg1_85292	10	1	4	6	0	5	1	6	5	7	3	3	16	3	8
slc25a4_85293	6	3	8	6	0	4	2	4	8	6	1	0	1	6	2
htr5aa_85294	4	5	7	2	0	6	5	5	3	5	3	2	8	4	7
gnb3a_85295	6	9	6	3	0	2	3	3	1	4	3	2	8	11	3
arnt2_85296	45	36	55	25	0	48	45	55	41	24	48	20	48	36	30
mre11a_85297	144	155	135	153	0	81	174	184	115	134	88	107	140	110	187
tmed10_85298	914	1733	1652	1858	0	1337	2102	1794	2093	1690	989	956	1359	1942	1808
pecam1_85299	3	15	6	8	0	6	19	9	3	8	5	7	14	8	9
prss59.1_85300	7	5	13	5	0	17	12	3	7	3	0	4	15	4	0
atic_85301	190	79	161	88	0	124	130	181	114	67	97	49	94	76	96
tcta_85302	56	100	70	139	0	41	131	114	113	139	68	53	83	95	98
ube2q2_85303	64	45	60	22	0	84	52	57	36	33	45	31	41	23	35
dtl_85304	62	36	57	53	0	81	75	88	65	48	34	26	54	43	109
nlrx1_85305	21	23	24	16	0	33	32	23	11	14	5	7	29	11	22
slit2_85306	36	16	30	20	0	49	36	25	34	30	15	21	25	22	17
ap3m1_85307	216	227	227	215	0	209	208	182	191	168	156	175	193	213	281
adam8a_85308	100	74	68	71	0	83	67	99	51	98	76	47	73	75	79
nrp1a_85309	725	635	720	498	0	601	590	545	586	455	332	314	586	490	542
fndc4b_85310	20	23	27	21	0	14	20	30	9	24	9	9	22	19	28
grin2da_85311	10	8	14	5	0	11	6	8	13	10	5	5	8	6	3
kcnk4a_85312	2	0	0	2	0	2	3	5	2	4	3	2	3	1	2
ext1c_85313	4	8	8	9	0	0	1	1	3	0	1	3	6	2	1
rps27a_85314	25694	16125	21248	13354	13	30334	18245	20974	13278	11202	13404	8433	16434	13130	13973
scyl3_85315	5	8	5	5	0	11	10	11	7	6	7	3	17	3	9
nefma_85316	6	3	8	10	0	3	4	3	1	7	5	10	11	9	11
ppp2r1ba_85317	265	129	156	75	0	211	119	177	95	67	102	63	139	88	95
ncapg_85318	46	19	15	9	0	22	23	25	18	12	17	3	17	6	4
pgam1b_85319	78	37	49	44	0	30	34	60	36	31	18	30	49	28	28
col4a3bpb_85320	26	12	20	20	0	22	16	31	24	13	19	11	23	8	14
prr5a_85321	25	18	24	4	0	29	13	29	18	16	11	12	22	15	21
lig1_85322	481	176	189	267	0	834	272	458	367	272	288	619	519	470	423
btr21_85323	1	1	0	1	0	4	0	0	3	3	0	0	5	0	0
rps10_85324	955	511	660	537	0	687	709	965	508	377	403	275	581	515	547
h2afx_85325	746	857	1014	850	2	727	1041	1256	1224	770	479	406	872	792	865
suz12b_85326	84	65	89	49	0	79	66	74	54	56	55	36	80	52	57
g3bp2_85327	183	141	151	147	0	185	136	137	124	125	117	88	128	125	194
chp1_85328	15	7	1	8	0	6	10	11	15	4	3	6	14	8	14
fignl1_85329	104	139	123	159	0	99	126	136	163	195	46	82	158	168	172
bod1_85330	37	55	61	38	0	44	37	55	30	23	22	23	44	42	43
pole3_85331	119	173	203	120	0	239	119	223	194	124	81	90	142	174	139
tiparp_85332	35	39	92	55	0	94	39	93	44	44	2	28	116	62	36
cmpk2_85333	3	4	6	2	0	0	0	0	3	2	0	1	3	3	0
nvl_85334	13	5	13	2	0	16	5	3	3	6	3	2	3	3	2
fosab_85335	3	2	3	1	0	4	8	1	2	1	2	0	7	5	1
clk4a_85336	459	271	430	222	0	493	233	382	222	180	327	158	258	190	237
relb_85337	2	0	2	1	0	0	2	2	0	0	0	1	2	6	0
dldh_85338	105	43	65	60	1	56	76	98	50	33	44	40	50	56	43
ugt1b4_85339	7	1	5	5	0	3	7	3	2	4	3	4	4	6	4
selenow1_85340	1094	1251	1293	1922	1	1157	1438	1272	2018	1852	588	1183	1445	2035	2039
gaa_85341	7	8	3	10	0	7	6	12	11	14	1	3	7	10	6
blvra_85342	124	117	151	111	0	115	132	138	143	106	72	71	125	122	126
prrg1_85343	68	32	39	32	0	53	34	44	33	26	48	23	31	30	35
ppp1r13bb_85344	14	8	19	3	0	15	8	16	2	7	18	5	5	4	4
csk_85345	11	11	13	8	0	15	7	14	6	7	5	7	17	10	9
rac2_85346	180	142	203	145	0	112	118	128	162	104	120	92	121	128	109
cks2_85347	51	154	70	113	0	34	119	121	130	95	46	79	104	117	177
morf4l1_85348	378	740	678	1026	0	432	900	732	1026	1038	349	492	705	1006	1146
si:ch211-14a17.10_85349	5	2	2	2	0	2	2	0	8	2	1	2	7	2	3
znf703_85350	67	85	133	89	0	110	111	139	68	76	85	40	87	80	93
mybl1_85351	5	4	6	0	0	8	5	4	4	4	11	7	13	2	3
mtpn_85352	271	274	293	235	1	353	357	340	295	206	168	177	282	256	273
cenpk_85353	149	303	315	346	0	217	290	277	322	270	120	190	237	304	350
cdab_85354	0	0	1	4	0	0	1	1	2	0	1	1	5	2	10
stbd1_85355	156	77	101	50	0	76	93	76	74	57	43	51	53	36	69
wnt2bb_85356	0	8	6	17	0	3	3	11	8	16	13	0	3	10	0
itpkcb_85357	115	67	98	62	0	117	89	92	61	50	42	28	59	75	79
gtf2e2_85358	17	13	29	13	0	18	4	19	13	11	7	11	15	12	11
gria3a_85359	4	2	3	2	0	4	1	1	1	2	0	0	2	2	2
